time,open,high,low,close,vwap,volume,count
1787036400,0.0698918,0.0699479,0.0697057,0.0698322,0.069816,429121.66367427,83
1787040000,0.069799,0.0698356,0.0695998,0.069811,0.0697267,520409.44611497,186
1787043600,0.0697854,0.069858,0.0697686,0.069823,0.0698196,82050.13930585,67
1787047200,0.0698333,0.0698684,0.069806,0.0698383,0.0698323,115264.68193435,54
1787050800,0.0698582,0.0699344,0.0698487,0.0698792,0.0699076,27624.15329237,32
1787054400,0.069897,0.0699238,0.0697648,0.0697681,0.0698215,74352.50897725,71
1787058000,0.0697684,0.0698134,0.0696744,0.0697275,0.069724,216004.47225459,88
1787061600,0.0697579,0.0703125,0.0697082,0.069996,0.0701704,1553547.31962756,153
1787065200,0.0700513,0.0702814,0.0699611,0.0702176,0.0701014,175732.26957244,78
1787068800,0.0702874,0.0704,0.070166,0.0703401,0.0702863,744152.59997936,125
1787072400,0.0703368,0.0703512,0.0702294,0.0702294,0.0702871,240106.7659448,91
1787076000,0.0702435,0.0704721,0.07024,0.0704145,0.0703723,787030.52649615,137
1787079600,0.0704068,0.0704868,0.0703166,0.0703379,0.070402,253364.88857221,72
1787083200,0.0703235,0.0703517,0.0700726,0.0701933,0.0701175,912871.85660148,146
1787086800,0.0701901,0.0702144,0.0700656,0.0701045,0.0701413,142338.05229512,88
1787090400,0.0700674,0.0701996,0.0699183,0.0700386,0.070031,1861760.68468354,226
1787094000,0.0700216,0.0702436,0.0700197,0.070203,0.0701547,427882.19421412,86
1787097600,0.0702126,0.0702126,0.0699301,0.0699303,0.0700113,40416.68038984,44
1787101200,0.0699255,0.0700565,0.0698652,0.0699298,0.069943,519985.46597143,82
1787104800,0.0699264,0.0699326,0.0698153,0.0698947,0.0698616,201964.17586522,69
1787108400,0.0699286,0.0700535,0.0698559,0.0700514,0.070005,183136.01542031,74
1787112000,0.0700388,0.070039,0.0698822,0.0699179,0.06992,174224.18883594,92
1787115600,0.0698996,0.0700539,0.0698854,0.0698854,0.0699905,421264.23168803,91
