time,open,high,low,close,vwap,volume,count
1787036400,0.7399,0.7402,0.7346,0.7358,0.7383,3884.27756792,68
1787040000,0.736,0.7365,0.7339,0.7356,0.7343,18502.11676819,100
1787043600,0.7354,0.7384,0.7349,0.7381,0.7365,680.35217352,30
1787047200,0.739,0.7404,0.738,0.7404,0.7397,2503.69557976,29
1787050800,0.7409,0.7413,0.7391,0.7391,0.7404,814.40010888,28
1787054400,0.7391,0.7395,0.7351,0.7355,0.7369,8300.69139362,45
1787058000,0.7359,0.7394,0.7359,0.739,0.7385,13257.46910693,77
1787061600,0.7389,0.749,0.7389,0.7465,0.7456,5872.65308398,157
1787065200,0.7461,0.7525,0.7451,0.7483,0.7498,10763.03888376,118
1787068800,0.7491,0.754,0.7481,0.7527,0.7533,30344.30872187,202
1787072400,0.7521,0.7521,0.7457,0.7482,0.7477,1055.92017741,43
1787076000,0.7482,0.7532,0.7474,0.7522,0.7502,3384.64285351,46
1787079600,0.7521,0.7522,0.7464,0.7464,0.7479,3645.58846126,45
1787083200,0.7462,0.7481,0.7442,0.7444,0.7462,3404.05636118,31
1787086800,0.7449,0.7502,0.7449,0.7499,0.7482,3733.64906747,41
1787090400,0.7496,0.7522,0.7492,0.7516,0.7501,7493.44957715,61
1787094000,0.7523,0.7571,0.7492,0.7507,0.753,11860.88801034,124
1787097600,0.7512,0.7512,0.7473,0.7492,0.749,17026.35380094,66
1787101200,0.7492,0.7555,0.7492,0.7551,0.7537,5990.58460375,96
1787104800,0.7541,0.7555,0.7521,0.7542,0.7532,9607.51483709,67
1787108400,0.7546,0.7547,0.7521,0.7541,0.7538,1567.1485359,41
1787112000,0.7541,0.7547,0.7521,0.7533,0.7535,2508.8292209,26
1787115600,0.7531,0.7568,0.7531,0.7568,0.756,14866.08375464,45
1787119200,0.7564,0.7659,0.7552,0.7641,0.7613,7300.62000032,98
1787122800,0.765,0.767,0.7592,0.7614,0.764,22702.58233581,132
1787126400,0.762,0.7622,0.759,0.7607,0.7602,7670.33538924,57
1787130000,0.7614,0.7652,0.7614,0.7652,0.7644,9807.98980466,47
1787133600,0.7656,0.777,0.7654,0.7763,0.7686,7967.82124387,89
1787137200,0.776,0.7774,0.7716,0.7754,0.7752,4654.50202541,121
