time,open,high,low,close,vwap,volume,count
1786935600,1900.24,1901.86,1896.2,1899.1,1899.64,453.88637881,547
1786939200,1899.1,1902.94,1899.1,1901.58,1901.23,369.56988597,476
1786942800,1901.58,1902.13,1897.05,1897.78,1899.28,192.06658594,523
1786946400,1897.67,1910.0,1895.93,1905.23,1902.98,433.35220464,603
1786950000,1905.13,1905.84,1899.41,1899.41,1902.15,246.51352503,389
1786953600,1899.1,1899.78,1890.0,1892.26,1893.55,490.51979871,786
1786957200,1892.45,1895.1,1891.62,1891.95,1893.25,297.41980999,499
1786960800,1891.96,1906.65,1890.27,1904.9,1899.06,324.87642465,479
1786964400,1904.91,1906.19,1902.27,1902.37,1903.92,673.46165885,652
1786968000,1902.37,1904.61,1895.12,1897.06,1898.79,240.73154454,663
1786971600,1896.97,1906.78,1894.03,1902.99,1899.24,851.8772354,861
1786975200,1902.98,1907.99,1896.09,1907.99,1903.89,849.00990963,725
1786978800,1907.53,1913.4,1902.95,1910.32,1906.43,988.285826,887
1786982400,1911.34,1912.03,1903.93,1905.63,1907.3,313.24002247,765
1786986000,1905.34,1912.4,1903.44,1907.51,1905.98,412.8635095,831
1786989600,1907.51,1910.74,1905.85,1908.15,1907.97,368.21480822,664
1786993200,1908.16,1909.12,1904.86,1905.5,1907.03,769.10822151,596
1786996800,1905.44,1908.94,1903.5,1904.94,1905.31,259.5589847,582
1787000400,1904.97,1907.16,1904.17,1904.56,1905.4,231.95201027,455
1787004000,1904.56,1906.09,1901.56,1902.83,1902.75,97.35219591,424
1787007600,1902.82,1916.84,1902.82,1912.46,1910.5,1018.7358144,892
1787011200,1912.45,1912.87,1907.17,1908.16,1909.44,176.41870075,542
1787014800,1907.94,1908.6,1897.98,1899.73,1902.36,144.60950499,532
1787018400,1899.71,1901.94,1888.0,1891.44,1892.87,564.17991409,900
1787022000,1890.9,1893.45,1884.01,1892.74,1886.6,364.06253026,496
1787025600,1892.74,1895.52,1889.79,1894.71,1892.68,47.0615735,269
1787029200,1894.72,1896.62,1890.89,1893.77,1893.97,72.4014723,401
1787032800,1893.67,1904.95,1891.75,1900.92,1899.54,765.42406494,700
1787036400,1901.16,1901.25,1895.5,1896.78,1898.86,84.82319104,289
1787040000,1896.79,1899.5,1892.3,1898.31,1895.79,88.73156663,346
1787043600,1898.31,1898.31,1893.8,1894.89,1895.16,201.67014641,279
1787047200,1894.84,1896.86,1893.24,1896.06,1895.12,72.84834916,312
1787050800,1896.06,1903.38,1896.06,1901.11,1901.0,820.27218993,586
1787054400,1901.11,1901.96,1897.74,1897.85,1899.64,102.30093613,382
1787058000,1897.75,1898.08,1892.14,1895.76,1896.66,560.13812218,583
1787061600,1895.83,1921.53,1895.79,1909.49,1911.97,1292.26686881,1293
1787065200,1909.5,1917.6,1906.89,1915.98,1914.21,833.3720149,930
1787068800,1916.34,1920.5,1911.65,1917.07,1915.07,735.10648489,972
1787072400,1917.24,1917.31,1910.0,1910.0,1913.13,723.63634386,890
1787076000,1910.0,1916.14,1909.76,1915.12,1913.35,107.25518959,449
1787079600,1915.12,1916.06,1911.78,1911.94,1913.94,130.48772888,532
1787083200,1911.95,1914.22,1910.88,1912.3,1912.22,133.6818537,482
1787086800,1912.23,1913.39,1910.5,1910.95,1912.01,110.22406514,395
1787090400,1910.95,1914.15,1910.67,1912.23,1912.61,149.4334144,480
1787094000,1912.21,1918.73,1912.2,1916.04,1917.57,235.33766699,507
1787097600,1916.38,1917.56,1911.27,1912.44,1913.93,604.83388513,778
1787101200,1912.27,1916.65,1910.93,1912.28,1913.72,259.93086525,559
1787104800,1912.21,1912.3,1906.0,1906.86,1908.48,495.03909366,648
1787108400,1906.26,1914.5,1905.28,1910.94,1909.85,350.49349832,442
1787112000,1910.62,1913.09,1909.0,1909.43,1910.35,91.50036267,306
1787115600,1909.18,1912.46,1908.55,1908.88,1910.93,631.26643844,404
1787119200,1908.73,1915.82,1905.01,1915.82,1911.8,249.12820917,415
1787122800,1915.82,1919.5,1914.44,1914.45,1916.36,196.63270646,413
1787126400,1914.45,1927.75,1913.6,1920.02,1922.16,553.94119409,773
1787130000,1920.02,1921.83,1916.31,1917.59,1919.8,326.49530721,400
1787133600,1917.59,1918.48,1916.0,1918.48,1917.29,133.04903375,309
1787137200,1918.43,1923.72,1918.42,1921.28,1921.23,222.27583984,552
1787140800,1921.28,1941.2,1920.82,1935.86,1929.86,1038.5853571,1391
1787144400,1935.39,1939.47,1927.0,1930.86,1933.48,1209.07244902,1122
1787148000,1931.0,1978.81,1931.0,1968.58,1949.34,3401.39863683,2520
1787151600,1969.12,2116.98,1966.17,2084.12,2046.36,13682.6419712,12007
1787155200,2084.51,2106.38,2081.86,2088.56,2093.45,6920.69890377,5265
1787158800,2088.56,2091.63,2066.29,2090.05,2078.23,2679.33303125,2386
1787162400,2090.3,2091.5,2079.01,2091.0,2086.37,1545.75419742,1120
1787166000,2091.2,2104.54,2088.21,2101.38,2097.52,2856.84250354,2177
1787169600,2101.99,2242.12,2101.63,2217.54,2172.8,9386.63912293,7407
1787173200,2217.99,2334.0,2215.73,2285.28,2275.69,17457.90617622,12201
1787176800,2285.31,2289.66,2240.79,2248.14,2263.91,5872.89000793,3943
1787180400,2248.8,2259.86,2242.19,2251.9,2248.97,1532.13193176,1646
1787184000,2251.5,2272.72,2250.72,2261.09,2262.14,2072.10594833,2445
1787187600,2261.09,2269.18,2248.58,2265.15,2255.78,1221.84121353,1372
1787191200,2265.28,2269.25,2248.67,2250.92,2258.43,3741.7291471,1421
1787194800,2250.92,2255.0,2221.35,2249.06,2236.83,1977.41839629,1921
1787198400,2249.41,2256.21,2247.45,2249.59,2251.42,578.17928276,1025
1787202000,2248.29,2254.84,2241.91,2247.17,2249.77,516.89196819,976
1787205600,2246.55,2265.0,2237.04,2260.89,2248.24,1809.7903929,1574
1787209200,2260.7,2261.04,2243.31,2249.76,2252.38,478.6971821,766
1787212800,2250.17,2284.8,2247.48,2279.73,2273.25,1907.69817806,2660
1787216400,2280.32,2295.0,2273.69,2276.67,2285.67,1029.22553071,1975
1787220000,2276.67,2293.43,2274.6,2283.38,2284.9,989.59983592,1395
1787223600,2284.78,2317.6,2280.84,2294.83,2294.81,15154.67646976,4424
1787227200,2294.83,2298.79,2266.33,2288.51,2276.56,5708.8827636,3133
1787230800,2288.78,2295.88,2253.51,2274.0,2271.09,3412.39148391,2637
1787234400,2275.01,2286.8,2270.45,2278.62,2277.72,1068.44942584,1407
1787238000,2279.42,2336.05,2279.42,2325.92,2307.77,5104.14317596,3917
1787241600,2325.58,2357.88,2313.47,2343.5,2332.86,4680.27459916,3853
1787245200,2343.43,2349.93,2331.76,2343.34,2340.32,2890.77961271,2298
1787248800,2343.34,2346.94,2309.78,2315.99,2319.45,3580.99526985,2411
1787252400,2315.44,2331.8,2312.41,2322.62,2325.4,2142.66356672,2123
1787256000,2322.62,2330.88,2313.68,2317.89,2322.13,962.34005287,1351
1787259600,2317.9,2324.61,2312.51,2317.15,2320.6,1946.49895889,1223
1787263200,2317.72,2318.66,2307.75,2313.71,2313.0,380.91118745,965
1787266800,2313.71,2339.78,2313.0,2326.33,2325.69,965.90083418,1173
1787270400,2326.21,2349.34,2324.05,2339.24,2338.67,1572.74202807,1842
1787274000,2339.6,2379.5,2336.99,2358.39,2356.7,3552.19071709,3433
1787277600,2358.4,2363.87,2343.02,2344.42,2354.58,1302.0512217,1525
1787281200,2344.69,2352.98,2336.64,2340.19,2347.97,630.90811959,946
1787284800,2340.01,2354.2,2340.01,2352.72,2349.43,394.92666239,711
1787288400,2352.85,2366.57,2348.65,2366.53,2355.33,551.0436136,1015
1787292000,2367.16,2382.62,2354.89,2370.37,2369.98,1087.64453452,1584
1787295600,2370.96,2398.0,2366.73,2368.91,2381.92,1320.48826438,2324
1787299200,2370.68,2447.99,2370.21,2443.95,2410.23,5640.45675855,3489
1787302800,2442.19,2445.26,2373.79,2403.42,2398.19,4381.2218237,4019
1787306400,2403.73,2410.24,2390.96,2394.53,2400.54,1439.00931329,1268
1787310000,2394.53,2397.52,2355.17,2369.61,2380.2,5710.9339629,2362
1787313600,2369.81,2396.51,2365.02,2387.23,2387.75,1841.6414689,1519
1787317200,2387.82,2405.27,2367.58,2385.73,2383.06,4405.39629427,2537
1787320800,2386.4,2397.25,2368.78,2392.99,2380.52,1079.87529228,1676
1787324400,2392.9,2407.18,2390.39,2391.91,2398.29,787.47395083,1478
1787328000,2392.55,2411.32,2383.99,2405.99,2394.32,1858.0823372,1723
1787331600,2405.28,2426.0,2401.79,2422.99,2417.09,1437.86955478,2059
1787335200,2423.0,2431.42,2395.01,2420.21,2414.23,1405.35773841,1930
1787338800,2419.47,2419.95,2406.52,2412.74,2413.71,2040.52049289,1536
1787342400,2412.75,2446.19,2407.87,2439.75,2433.94,2157.62143173,2067
1787346000,2440.43,2521.38,2434.58,2514.41,2481.25,6753.03341014,5115
1787349600,2513.38,2546.62,2507.14,2521.43,2529.53,4784.82773718,3966
1787353200,2522.43,2545.1,2509.38,2515.72,2528.83,1986.40665791,2296
1787356800,2515.73,2522.67,2491.34,2521.46,2510.78,3640.98068593,2150
1787360400,2521.46,2527.85,2507.0,2507.0,2519.78,593.41098191,1188
1787364000,2506.47,2521.16,2495.2,2514.36,2508.62,601.75292429,1289
1787367600,2514.36,2526.37,2512.3,2514.31,2519.35,1012.278157,1367
1787371200,2514.71,2529.06,2505.75,2514.5,2517.9,650.96845612,1460
1787374800,2514.28,2517.75,2375.09,2439.54,2432.67,6291.6558906,5821
1787378400,2439.53,2442.78,2411.96,2438.04,2425.18,1365.00866941,1051
1787382000,2437.63,2446.98,2427.02,2432.22,2436.97,388.34187967,743
1787385600,2432.23,2439.99,2412.66,2425.32,2427.61,982.63608028,957
1787389200,2425.38,2428.52,2413.2,2421.64,2421.49,363.35881184,631
1787392800,2421.75,2422.27,2389.21,2413.29,2402.85,2449.52520525,1558
1787396400,2412.33,2425.83,2405.04,2423.45,2415.17,513.44113749,864
1787400000,2423.42,2437.49,2419.69,2428.43,2430.96,1905.92202043,1077
1787403600,2428.44,2432.27,2422.44,2429.76,2426.4,581.03484666,1040
1787407200,2429.9,2431.13,2409.65,2413.34,2417.5,750.70845801,1083
1787410800,2413.34,2416.18,2405.84,2410.94,2409.87,396.12271555,873
1787414400,2410.7,2428.81,2409.06,2422.05,2419.67,572.22672502,867
1787418000,2422.15,2430.95,2417.84,2426.2,2426.64,2249.70423475,1079
1787421600,2426.04,2433.96,2422.01,2427.13,2427.27,649.86606988,847
1787425200,2427.01,2443.7,2423.75,2440.0,2432.19,635.92707637,773
1787428800,2439.25,2443.4,2429.0,2431.72,2437.74,430.53651337,706
1787432400,2431.69,2431.69,2402.15,2407.23,2418.96,3453.7085729,1193
1787436000,2407.23,2424.68,2404.29,2413.57,2416.16,353.8783351,725
1787439600,2413.87,2426.66,2410.84,2422.94,2417.63,361.98037677,492
1787443200,2422.29,2434.79,2418.95,2430.74,2424.25,1161.35855582,1092
1787446800,2430.62,2432.72,2420.0,2423.03,2426.27,600.387436,723
1787450400,2423.0,2423.98,2408.33,2417.15,2417.62,521.83465924,781
1787454000,2416.64,2418.78,2407.99,2412.79,2413.32,174.69523264,513
1787457600,2412.8,2416.15,2371.3,2379.41,2388.71,1301.09425137,1497
1787461200,2378.57,2385.99,2355.47,2374.5,2374.04,1560.01279012,1283
1787464800,2372.57,2396.22,2369.33,2389.47,2382.8,840.43090453,908
1787468400,2389.57,2395.99,2386.36,2388.24,2391.04,448.3427952,638
1787472000,2388.42,2424.89,2386.24,2412.13,2409.06,1567.62976187,1072
