time,open,high,low,close,vwap,volume,count
1786935600,9.52477,9.55479,9.47774,9.47774,9.50465,16842.33352374,246
1786939200,9.48209,9.49284,9.45524,9.45563,9.472,2142.12508205,90
1786942800,9.45795,9.45941,9.40453,9.40529,9.43178,5285.07887116,118
1786946400,9.4,9.46655,9.39918,9.45382,9.44242,10337.16677083,201
1786950000,9.45504,9.48438,9.40493,9.40493,9.46089,3207.63210079,100
1786953600,9.40128,9.41366,9.36,9.38387,9.38646,8388.05646694,202
1786957200,9.38589,9.41998,9.38272,9.41579,9.40178,5963.05247879,147
1786960800,9.41576,9.52032,9.41022,9.49729,9.46522,10017.93695095,198
1786964400,9.49171,9.55507,9.46817,9.50737,9.50395,22769.60163699,366
1786968000,9.50737,9.56415,9.5052,9.54094,9.53366,21502.96708392,340
1786971600,9.5409,9.54931,9.48126,9.48126,9.50377,6765.709234,188
1786975200,9.4828,9.54765,9.43549,9.52683,9.46717,17061.87722397,316
1786978800,9.52208,9.55096,9.49344,9.50465,9.51737,11911.46430604,217
1786982400,9.51694,9.56337,9.4686,9.56052,9.4999,17541.76733315,238
1786986000,9.55767,9.55767,9.47674,9.49143,9.50849,8308.9095108,159
1786989600,9.49499,9.55097,9.46331,9.4652,9.50448,15888.39176662,336
1786993200,9.46768,9.48682,9.46,9.48682,9.46841,11334.9377536,224
1786996800,9.48826,9.52437,9.4665,9.51042,9.50222,4134.12296158,150
1787000400,9.50394,9.52384,9.47592,9.47618,9.50425,2233.93274145,93
1787004000,9.48395,9.48831,9.47182,9.48342,9.47643,1641.11586442,57
1787007600,9.48246,9.54776,9.48246,9.53461,9.53041,9466.63017938,179
1787011200,9.53348,9.54092,9.46866,9.5001,9.50395,8551.41751734,240
1787014800,9.50423,9.50953,9.42167,9.4309,9.46337,9524.22930924,230
1787018400,9.42446,9.45756,9.32593,9.365,9.37881,34988.99323091,425
1787022000,9.35861,9.41552,9.35861,9.41543,9.37877,1387.37809236,110
1787025600,9.41542,9.44,9.3991,9.42135,9.42534,9438.2890121,115
1787029200,9.41369,9.46891,9.41181,9.43131,9.44655,39650.71168317,362
1787032800,9.42507,9.51016,9.4071,9.44654,9.46511,10713.4269643,214
1787036400,9.43701,9.4397,9.3845,9.41807,9.40802,7885.63792044,115
1787040000,9.42603,9.44279,9.378,9.44279,9.42154,10076.42943602,143
1787043600,9.44462,9.4619,9.42318,9.4564,9.45077,5199.57345082,121
1787047200,9.45781,9.48298,9.44892,9.44892,9.4606,1880.86792715,92
1787050800,9.45285,9.48195,9.43488,9.43892,9.45127,7128.64927008,145
1787054400,9.43763,9.43793,9.40296,9.43793,9.42584,1986.0635691,77
1787058000,9.42475,9.43536,9.39247,9.40649,9.41385,6827.67284791,157
1787061600,9.41968,9.51282,9.40976,9.45319,9.45772,10255.15789015,258
1787065200,9.46526,9.54996,9.46526,9.47466,9.51044,29952.40338941,357
1787068800,9.47465,9.536,9.47278,9.52438,9.48946,18598.69218126,488
1787072400,9.51789,9.51789,9.44725,9.46772,9.46373,6158.90805721,141
1787076000,9.46319,9.52092,9.46298,9.51658,9.497,5858.09063015,124
1787079600,9.51224,9.51829,9.48945,9.4973,9.50158,4731.98490319,130
1787083200,9.49824,9.50309,9.45827,9.46711,9.488,1095.71145846,89
1787086800,9.46822,9.5494,9.46822,9.48955,9.51496,5309.10853528,173
1787090400,9.49609,9.50661,9.47058,9.47727,9.48471,2950.29823987,146
1787094000,9.47587,9.54964,9.46992,9.52592,9.5274,10841.19427923,151
1787097600,9.534,9.53525,9.48757,9.49497,9.50152,6684.19654422,185
1787101200,9.48721,9.52172,9.48721,9.511,9.50049,2768.98244529,102
1787104800,9.49682,9.53754,9.481,9.52117,9.52014,5493.6569066,102
1787108400,9.53373,9.7145,9.52251,9.69147,9.64417,24922.18296147,695
1787112000,9.69675,9.6998,9.56613,9.56806,9.604,16333.60727928,336
1787115600,9.58181,9.63973,9.58181,9.60219,9.60649,2876.94952641,111
1787119200,9.60581,9.67553,9.55864,9.67391,9.58883,6766.03661002,140
1787122800,9.67431,9.7091,9.6259,9.69114,9.68595,19831.99806103,403
1787126400,9.69084,9.82898,9.65902,9.78893,9.76067,53648.70812147,1587
1787130000,9.78722,9.81785,9.72551,9.72551,9.78638,13470.26116659,375
1787133600,9.73177,9.78785,9.70993,9.78785,9.73222,7640.67431341,203
1787137200,9.78278,9.79025,9.74013,9.76014,9.75521,7629.14181723,186
1787140800,9.75426,9.803,9.72,9.74862,9.76191,22665.56364687,300
1787144400,9.74292,9.76988,9.65163,9.67204,9.71611,26204.4775723,542
1787148000,9.67493,9.81289,9.65977,9.76426,9.69902,29182.63268312,419
1787151600,9.76552,10.09116,9.74563,9.91552,9.90403,79684.45820795,1866
1787155200,9.91972,10.0251,9.9034,9.9262,9.97768,46568.19541758,860
1787158800,9.93055,9.98333,9.84914,9.98333,9.8982,26819.49848027,476
1787162400,9.97872,10.07502,9.9612,9.96981,10.00111,38172.80484022,601
1787166000,9.98808,10.14544,9.98643,10.11829,10.06201,76175.56318625,934
1787169600,10.12169,10.63235,10.10252,10.58254,10.32855,138437.96602311,2676
1787173200,10.58684,10.88592,10.57046,10.74096,10.78035,143064.26960471,2371
1787176800,10.74787,10.75995,10.53205,10.56526,10.63404,70317.39674978,1057
1787180400,10.56485,10.58649,10.50769,10.547,10.54351,23691.81324367,384
1787184000,10.547,10.61865,10.52173,10.52173,10.57157,42116.26027194,656
1787187600,10.52347,10.59732,10.45951,10.53505,10.50021,13671.47936843,254
1787191200,10.53322,10.54844,10.48295,10.50611,10.50964,3075.40391943,168
1787194800,10.5005,10.5005,10.36084,10.43701,10.42957,14019.22576247,378
1787198400,10.4361,10.4716,10.40835,10.44309,10.44038,9570.10966199,236
1787202000,10.44425,10.46,10.4175,10.45239,10.44028,3259.95815682,132
1787205600,10.451,10.57786,10.45027,10.56844,10.49354,4421.9366165,138
1787209200,10.58505,10.5855,10.51,10.542,10.5401,12613.46965925,216
1787212800,10.54352,10.69627,10.53593,10.656,10.6265,26798.92561616,590
1787216400,10.65492,10.67623,10.56235,10.5701,10.62986,24519.81934577,311
1787220000,10.56974,10.69881,10.56974,10.68032,10.64682,24044.74185912,352
1787223600,10.69175,10.75842,10.65614,10.65795,10.6922,19353.64405472,505
1787227200,10.66199,10.6792,10.51882,10.59324,10.61498,24054.34250951,495
1787230800,10.58738,10.64855,10.5144,10.59983,10.58867,14670.56403449,380
1787234400,10.59534,10.66661,10.50798,10.54376,10.56054,15501.12439635,454
1787238000,10.54801,10.72505,10.54774,10.71163,10.61551,26654.5219698,449
1787241600,10.70872,10.8,10.64828,10.77737,10.72688,21567.09099655,544
1787245200,10.77032,10.87701,10.72192,10.79031,10.80953,63391.42011981,992
1787248800,10.78619,10.80935,10.61207,10.62468,10.67868,37308.07133762,689
1787252400,10.62498,10.66889,10.61457,10.65269,10.64801,11106.39400478,299
1787256000,10.65363,10.67127,10.58003,10.62375,10.63263,18099.78350711,418
1787259600,10.61665,10.62311,10.54803,10.56992,10.58485,14001.13495425,250
1787263200,10.57634,10.63231,10.49546,10.62063,10.57032,9798.89329019,263
1787266800,10.62113,10.71975,10.61219,10.6904,10.68787,28338.42384396,392
1787270400,10.6904,10.78871,10.688,10.75961,10.76014,9922.51972566,309
1787274000,10.74924,10.89206,10.70111,10.83,10.81139,43594.4274019,795
1787277600,10.83,10.99104,10.76761,10.87987,10.88139,66645.65408635,1230
1787281200,10.88558,11.02862,10.86597,10.91131,10.9418,33265.66004906,689
1787284800,10.90466,10.96659,10.86382,10.90439,10.91079,18492.02638761,333
1787288400,10.89943,10.948,10.85839,10.94464,10.90345,7203.79445183,247
1787292000,10.93066,11.0577,10.92838,10.96993,11.00078,35810.37370582,725
1787295600,10.97203,11.83974,10.96576,11.53773,11.36624,240715.99083087,3571
1787299200,11.54498,11.74539,11.48523,11.72412,11.57081,216451.13859317,2242
1787302800,11.73616,11.7362,11.32714,11.48387,11.48753,66281.29237144,1068
1787306400,11.47554,11.48237,11.33898,11.41063,11.4155,27714.18206686,403
1787310000,11.4124,11.41371,11.2257,11.2694,11.31015,35613.49701567,667
1787313600,11.27241,11.4036,11.23066,11.36209,11.32489,14761.71589233,379
1787317200,11.36224,11.46611,11.26835,11.40928,11.36643,19732.62515796,540
1787320800,11.41275,11.51295,11.30149,11.50734,11.40005,35936.74758839,575
1787324400,11.50456,11.61554,11.47687,11.51718,11.52873,23255.01354323,620
1787328000,11.52,11.62057,11.41335,11.54472,11.51418,26542.37083445,522
1787331600,11.54783,11.65401,11.4744,11.61485,11.58802,30225.6275658,603
1787335200,11.6113,11.6602,11.48491,11.58682,11.58882,38120.55163556,687
1787338800,11.58681,11.67527,11.51601,11.65849,11.62157,23163.23239074,586
1787342400,11.66092,11.82538,11.63409,11.81219,11.73853,40963.60674473,985
1787346000,11.81782,12.18291,11.80714,12.15392,11.98025,111415.57573601,1619
1787349600,12.16403,12.39476,12.11,12.1913,12.21311,144148.17295447,1907
1787353200,12.19035,12.20603,11.95066,11.98647,12.06429,128285.19244253,1274
1787356800,11.99232,12.09333,11.83199,12.09333,11.9398,57309.86558057,844
1787360400,12.08832,12.13131,11.99719,12.0192,12.06476,12915.13308327,493
1787364000,11.99921,12.21636,11.99708,12.21363,12.1119,34137.74640496,666
1787367600,12.21206,12.49791,12.18684,12.37078,12.38148,146240.70914913,1730
1787371200,12.37944,12.61418,12.29073,12.53489,12.53292,199411.97351931,1963
1787374800,12.52975,12.58585,10.949,11.84532,11.68018,291294.39931379,4913
1787378400,11.83005,11.9247,11.70885,11.85744,11.80766,17250.18919571,506
1787382000,11.85347,11.90673,11.72369,11.73771,11.79112,18042.53462924,419
1787385600,11.75069,11.82629,11.53954,11.60517,11.65307,34678.28687579,659
1787389200,11.60516,11.70564,11.50668,11.59447,11.65008,35235.85523049,535
1787392800,11.59813,11.6049,11.35586,11.52342,11.43484,139793.76614976,1514
1787396400,11.53117,11.71209,11.49076,11.68288,11.64037,17011.47950381,377
1787400000,11.68425,11.89473,11.66486,11.8834,11.82177,23296.75133341,557
1787403600,11.88095,11.88949,11.75115,11.79082,11.79719,11097.85273421,243
1787407200,11.77613,11.78533,11.62146,11.65185,11.69643,19355.75489917,314
1787410800,11.65385,11.66856,11.48291,11.61457,11.58736,67166.79426839,640
1787414400,11.61536,11.77299,11.52758,11.73801,11.65206,35721.27616272,661
1787418000,11.73987,11.7768,11.67826,11.71872,11.73726,23141.73593039,468
1787421600,11.72431,11.8068,11.65222,11.69923,11.72688,47170.40918468,560
1787425200,11.69893,11.76353,11.69439,11.75068,11.74672,15760.75836412,289
1787428800,11.75069,11.80605,11.69398,11.71579,11.74937,37843.84939436,619
1787432400,11.70861,11.70861,11.49332,11.51243,11.59236,10406.99632229,343
1787436000,11.50951,11.60565,11.46,11.57862,11.5521,15795.57257708,402
1787439600,11.58032,11.66987,11.56771,11.64756,11.60904,3196.69218873,182
1787443200,11.66147,11.74226,11.63089,11.722,11.67535,8258.19606938,308
1787446800,11.71996,11.71996,11.58359,11.59667,11.64841,8222.18209963,288
1787450400,11.60569,11.60978,11.48851,11.53948,11.54238,18206.16064328,393
1787454000,11.54505,11.54743,11.42275,11.45279,11.46359,12359.31417919,235
1787457600,11.45,11.51,11.26183,11.26212,11.40842,88558.62158276,1115
1787461200,11.26244,11.29161,11.02386,11.12987,11.14897,60903.74111288,961
1787464800,11.13087,11.29372,11.09409,11.21558,11.24562,34837.36251696,365
1787468400,11.23134,11.31718,11.21506,11.30079,11.28173,5558.11213417,128
1787472000,11.30252,11.40217,11.27181,11.32477,11.34381,14043.1458158,347
1787475600,11.32543,11.40148,11.31501,11.38787,11.36804,4610.79893312,190
1787479200,11.38886,11.45813,11.38886,11.42797,11.43674,22019.77879387,320
1787482800,11.43661,11.46228,11.28065,11.41431,11.34735,59212.10088029,689
1787486400,11.41151,11.44502,11.34685,11.405,11.39308,12017.06442735,254
1787490000,11.40464,11.6551,11.40464,11.61829,11.58031,158880.60438537,1559
1787493600,11.62248,11.65346,11.27301,11.50899,11.51958,61256.30848094,1249
1787497200,11.49762,11.55274,11.3944,11.46171,11.46814,18121.38284918,363
1787500800,11.4667,11.56684,11.4651,11.51249,11.53637,17519.63298872,392
1787504400,11.51354,11.53584,11.45,11.4926,11.49037,8037.13813732,296
1787508000,11.48976,11.61339,11.48286,11.59655,11.55151,26170.79370035,396
1787511600,11.59882,11.59883,11.47569,11.49643,11.52302,9572.77194115,223
1787515200,11.49693,11.5167,11.445,11.50541,11.4921,15021.55556076,219
1787518800,11.5143,11.73141,11.51322,11.63132,11.61589,54786.46699915,706
1787522400,11.62527,11.65699,11.54476,11.54666,11.58853,14863.43148739,246
1787526000,11.55383,11.56772,11.46657,11.54242,11.5035,18205.47118882,252
1787529600,11.54146,11.54656,11.38,11.54565,11.44244,13270.78913814,293
1787533200,11.53686,11.55294,11.30652,11.32335,11.39349,11951.70112257,293
1787536800,11.32179,11.49849,11.3,11.45578,11.41549,6849.96507054,146
1787540400,11.45878,11.46582,11.34719,11.36093,11.37775,4242.51195826,100
1787544000,11.36704,11.49699,11.36076,11.47162,11.41821,10256.61604268,149
1787547600,11.4813,11.58892,11.46266,11.51237,11.54643,9879.77915452,154
1787551200,11.502,11.57378,11.4771,11.55899,11.50077,11836.95288486,155
1787554800,11.55899,11.66755,11.51081,11.51473,11.60535,9376.39634757,174
1787558400,11.52272,11.52559,11.36755,11.49182,11.45849,5682.5371235,163
1787562000,11.48772,11.60849,11.48772,11.55267,11.58947,5990.16032236,142
1787565600,11.55595,11.63653,11.52722,11.54087,11.59623,6063.07683477,158
1787569200,11.52721,11.74444,11.5018,11.70971,11.67939,29360.37558729,461
1787572800,11.69564,11.78428,11.56976,11.72756,11.71057,43960.50276546,604
1787576400,11.73745,11.76993,11.49395,11.59871,11.66933,29955.70909251,449
1787580000,11.59539,11.77691,11.59539,11.71215,11.69535,65735.24167947,655
1787583600,11.72284,11.75805,11.51324,11.55282,11.6222,109987.99528567,803
1787587200,11.57517,11.69417,11.52302,11.5453,11.61547,12185.68123738,270
1787590800,11.54489,11.56499,11.42,11.50117,11.4762,20637.59347549,324
