time,open,high,low,close,vwap,volume,count
1787036400,44.54,44.57,44.48,44.49,44.51,287.04380301,112
1787040000,44.48,44.58,44.41,44.57,44.54,445.71852218,128
1787043600,44.57,44.64,44.47,44.53,44.55,710.58148091,127
1787047200,44.56,44.59,44.46,44.46,44.54,354.97776837,115
1787050800,44.45,44.57,44.45,44.51,44.52,661.56208352,131
1787054400,44.53,44.56,44.47,44.54,44.52,462.79123202,134
1787058000,44.51,44.56,44.38,44.43,44.48,595.72754692,176
1787061600,44.41,44.72,44.35,44.37,44.49,744.80741377,192
1787065200,44.36,44.39,44.15,44.17,44.27,733.85701731,199
1787068800,44.19,44.43,44.18,44.4,44.28,882.98596089,196
1787072400,44.41,44.41,44.25,44.28,44.29,875.49387249,220
1787076000,44.29,44.5,44.28,44.49,44.39,636.21302927,197
1787079600,44.49,44.58,44.47,44.52,44.53,674.56970062,193
1787083200,44.51,44.58,44.45,44.58,44.5,765.20954655,235
1787086800,44.57,44.59,44.45,44.47,44.5,1351.93364154,243
1787090400,44.46,44.47,44.34,44.34,44.41,550.24117909,203
1787094000,44.33,44.55,44.26,44.34,44.45,5190.09878512,315
1787097600,44.36,44.43,44.32,44.37,44.35,1196.00806397,194
1787101200,44.35,44.45,44.33,44.42,44.37,606.5328394,212
1787104800,44.42,44.42,44.3,44.36,44.36,1244.86490686,208
1787108400,44.37,44.52,44.36,44.38,44.44,964.20640975,191
1787112000,44.37,44.43,44.33,44.38,44.38,801.41269101,171
1787115600,44.37,44.45,44.37,44.39,44.42,483.1513683,107
1787119200,44.4,44.5,44.37,44.5,44.46,354.50169987,99
1787122800,44.5,44.57,44.45,44.49,44.5,487.4888545,135
1787126400,44.49,44.95,44.47,44.91,44.82,5157.01827929,283
1787130000,44.91,45.03,44.82,44.86,44.92,1622.24370894,188
1787133600,44.86,44.86,44.74,44.86,44.78,678.44489184,139
1787137200,44.85,44.93,44.75,44.79,44.83,448.32434638,133
1787140800,44.81,44.95,44.79,44.89,44.84,735.40247761,147
1787144400,44.89,45.03,44.82,44.93,44.92,563.63942243,190
1787148000,44.92,45.36,44.92,45.28,45.06,8347.49453415,379
1787151600,45.31,46.17,45.17,45.66,45.88,35685.73487653,1457
1787155200,45.69,45.91,45.63,45.83,45.79,2263.15041957,330
1787158800,45.8,45.8,45.55,45.75,45.69,2273.50984414,262
1787162400,45.78,45.89,45.65,45.89,45.77,782.69970119,183
1787166000,45.88,46.08,45.8,46.05,45.99,3531.46404746,302
1787169600,46.05,46.71,46.04,46.61,46.43,6531.24927636,518
1787173200,46.66,47.22,46.52,47.13,46.96,20600.0435303,995
1787176800,47.16,47.23,46.44,46.62,46.7,11481.04507521,675
1787180400,46.63,46.78,46.48,46.78,46.62,915.04149659,269
1787184000,46.78,47.28,46.78,47.06,47.16,3920.47090726,382
1787187600,47.07,47.17,46.88,47.08,46.98,1610.57770875,297
1787191200,47.06,47.1,46.76,46.77,46.91,1272.3094678,217
1787194800,46.75,46.8,46.47,46.75,46.66,3345.68394436,309
1787198400,46.71,46.9,46.71,46.85,46.79,4108.43990862,272
1787202000,46.85,46.88,46.72,46.79,46.81,642.58028694,178
1787205600,46.81,47.0,46.72,46.93,46.9,1687.16736017,223
1787209200,46.93,46.94,46.67,46.8,46.8,517.92121513,119
1787212800,46.82,47.6,46.8,47.54,47.26,6883.73901103,424
1787216400,47.51,47.58,47.14,47.17,47.44,7300.95189582,413
1787220000,47.14,47.49,47.14,47.36,47.33,1746.76854418,191
1787223600,47.3,47.54,47.25,47.34,47.43,8419.2194541,486
1787227200,47.34,47.46,47.11,47.45,47.29,751.32977347,216
1787230800,47.45,47.47,47.1,47.36,47.26,1171.713162,235
1787234400,47.38,47.77,47.34,47.77,47.52,1812.88781266,359
1787238000,47.74,48.17,47.56,48.02,47.85,3893.03372522,531
1787241600,48.02,48.51,47.69,48.5,48.18,6778.11202105,547
1787245200,48.46,48.53,48.2,48.31,48.25,5834.222515,514
1787248800,48.32,48.57,47.86,48.03,48.17,14570.58667999,690
1787252400,48.03,48.2,47.76,47.84,47.98,1320.48470154,308
1787256000,47.83,48.23,47.78,48.12,48.04,1245.51070092,257
1787259600,48.1,48.21,48.03,48.09,48.12,2642.32006937,307
1787263200,48.13,48.13,47.78,47.82,47.88,9797.64522762,596
1787266800,47.83,48.09,47.71,47.81,47.85,1764.67304695,324
1787270400,47.81,48.19,47.77,47.96,48.0,1715.19150366,319
1787274000,47.94,48.51,47.94,48.37,48.19,3112.13647775,429
1787277600,48.4,48.42,48.08,48.08,48.18,3777.40829523,408
1787281200,48.08,48.44,47.96,48.31,48.21,2654.89414454,363
1787284800,48.34,48.73,48.31,48.72,48.5,3534.76272985,376
1787288400,48.71,48.75,48.49,48.64,48.69,3105.7862285,326
1787292000,48.61,48.94,48.52,48.85,48.78,1409.57884732,258
1787295600,48.83,49.93,48.82,49.62,49.35,7333.72645631,586
1787299200,49.65,51.45,49.64,51.45,50.53,12102.09265223,968
1787302800,51.47,51.52,49.71,50.67,50.38,12560.79151183,1058
1787306400,50.63,50.99,50.44,50.88,50.68,1404.4989099,271
1787310000,50.88,50.96,49.98,50.14,50.46,2792.3600291,448
1787313600,50.26,50.78,50.12,50.54,50.5,2563.66887128,411
1787317200,50.54,50.93,50.19,50.92,50.63,2029.60260571,447
1787320800,50.89,51.48,50.55,51.48,51.2,5624.63576948,578
1787324400,51.48,52.11,51.42,51.79,51.84,6257.20134739,761
1787328000,51.87,52.2,51.1,51.87,51.49,5022.95397623,584
1787331600,51.84,52.03,51.2,51.88,51.51,6452.18640983,732
1787335200,51.86,52.08,51.42,51.6,51.63,3730.64070505,597
1787338800,51.63,52.32,51.26,51.62,51.64,4787.23499373,590
1787342400,51.62,52.38,51.49,52.36,52.1,1700.80747932,420
1787346000,52.35,52.78,52.12,52.66,52.57,9530.19478194,664
1787349600,52.67,54.19,52.54,53.82,53.45,19509.10411177,1694
1787353200,53.85,53.94,52.96,53.16,53.29,10836.96758758,1094
1787356800,53.19,53.85,52.69,53.85,53.2,3789.53970947,564
1787360400,53.84,54.13,53.08,53.2,53.76,9311.69118894,913
1787364000,53.18,54.61,53.18,54.49,54.06,8014.17541688,795
1787367600,54.49,55.0,53.88,54.23,54.31,17268.1968581,1214
1787371200,54.34,55.39,53.8,54.91,54.79,8114.08140129,956
1787374800,54.92,55.16,49.64,52.03,51.95,22992.1388166,2322
1787378400,51.99,52.16,51.3,52.05,51.86,5272.78647259,484
1787382000,52.05,52.41,51.73,51.91,52.06,888.99630075,220
1787385600,51.89,52.13,50.96,51.36,51.4,2766.62082667,445
1787389200,51.35,51.91,51.01,51.69,51.65,1341.08222038,284
1787392800,51.63,51.67,50.5,51.19,50.98,3721.43747078,396
1787396400,51.3,51.51,51.03,51.4,51.3,763.53581048,170
1787400000,51.38,51.85,51.3,51.68,51.63,1610.60882239,218
1787403600,51.69,52.22,51.56,52.21,51.85,1259.15465385,198
1787407200,52.22,52.27,51.54,51.92,51.91,2144.96462965,367
1787410800,51.88,52.13,51.46,51.91,51.86,2046.19755377,287
1787414400,51.94,52.57,51.8,52.29,52.21,3518.67718865,406
1787418000,52.37,52.75,52.22,52.64,52.54,2638.02876631,362
1787421600,52.61,53.0,52.61,52.96,52.8,1731.74643845,360
1787425200,52.95,53.68,52.85,53.2,53.36,9516.42615498,782
1787428800,53.24,53.47,52.79,52.94,53.22,4202.22409877,480
1787432400,52.92,52.92,51.88,52.02,52.38,4146.35612215,447
1787436000,52.15,52.69,51.78,52.6,52.39,3602.5084744,376
1787439600,52.59,52.69,52.11,52.46,52.49,2779.39011506,358
1787443200,52.46,52.89,52.24,52.8,52.55,1852.00947137,300
1787446800,52.78,52.78,52.02,52.04,52.45,1574.74609298,327
1787450400,52.03,52.03,51.35,51.53,51.53,10549.90019378,665
1787454000,51.54,51.61,51.05,51.17,51.22,2612.9448623,331
1787457600,51.21,51.44,50.71,51.1,51.12,2451.99279589,359
1787461200,51.08,51.3,50.63,50.81,51.08,5470.88853094,396
1787464800,50.74,51.37,50.66,51.2,50.93,1280.95461771,218
1787468400,51.18,51.49,51.12,51.23,51.29,283.80274149,156
1787472000,51.22,51.92,51.14,51.75,51.65,4300.06800597,389
1787475600,51.72,51.98,51.68,51.82,51.84,626.53855197,188
1787479200,51.87,52.28,51.82,52.11,52.08,7073.68160379,516
1787482800,52.11,52.46,52.08,52.28,52.22,2735.08101338,270
1787486400,52.28,52.56,52.02,52.54,52.35,1622.08266496,296
1787490000,52.54,53.03,52.41,52.97,52.67,2741.57539098,376
1787493600,52.98,53.19,51.7,52.12,52.53,6497.4817172,710
1787497200,52.14,52.27,51.67,52.02,51.96,2576.00028727,355
1787500800,52.06,52.31,51.93,52.29,52.2,7948.89039794,545
1787504400,52.31,52.52,52.11,52.33,52.31,3124.14391151,343
1787508000,52.36,52.48,52.25,52.42,52.34,6151.19338422,420
1787511600,52.43,52.43,52.04,52.33,52.24,1859.97410623,275
1787515200,52.31,52.48,52.16,52.38,52.33,2972.5811807,423
1787518800,52.4,52.79,52.38,52.46,52.62,9476.20297374,517
1787522400,52.46,52.6,52.2,52.36,52.31,1458.52058825,296
1787526000,52.35,52.67,52.25,52.28,52.4,645.38961606,229
1787529600,52.3,52.36,51.64,52.13,51.9,2314.0119371,363
1787533200,52.12,52.16,51.37,51.43,51.64,1689.59591017,408
1787536800,51.44,52.01,51.29,51.89,51.67,1015.36429945,278
1787540400,51.93,51.93,51.51,51.69,51.7,1451.66982119,317
1787544000,51.7,52.26,51.7,52.0,52.0,1045.08558705,238
1787547600,51.97,52.19,51.79,52.11,52.06,2154.00193549,328
1787551200,52.07,52.23,51.84,52.13,52.02,675.47422708,226
1787554800,52.16,52.52,52.05,52.1,52.25,869.61252959,272
1787558400,52.14,52.2,51.62,51.96,51.92,3182.37671784,291
1787562000,51.93,53.54,51.93,53.07,52.91,6586.12104741,548
1787565600,53.15,54.08,52.55,52.55,53.47,7283.83459283,766
1787569200,52.58,53.22,52.44,53.0,52.83,1520.06484928,320
1787572800,52.99,53.75,52.64,53.44,53.02,3321.00622852,388
1787576400,53.47,53.49,51.85,52.08,52.39,6046.77483893,649
1787580000,52.07,52.7,51.93,52.6,52.37,5463.8595654,514
1787583600,52.62,52.93,52.19,52.33,52.57,7685.81556076,597
1787587200,52.5,52.8,52.38,52.38,52.61,2442.80872913,467
1787590800,52.39,52.45,51.65,51.83,51.88,5487.38191724,587
1787594400,51.85,52.15,51.79,51.94,51.95,2036.058401,374
1787598000,51.93,51.99,51.49,51.59,51.77,3285.52820311,414
1787601600,51.6,51.78,51.4,51.76,51.53,3976.75468634,426
1787605200,51.77,51.87,51.65,51.83,51.76,1041.95377972,290
1787608800,51.84,51.92,51.42,51.54,51.67,1433.32463374,308
1787612400,51.54,51.73,51.28,51.65,51.55,1207.05941328,340
1787616000,51.64,52.17,51.41,52.13,51.71,3016.61521197,438
1787619600,52.14,52.37,52.03,52.34,52.24,1185.34581079,326
1787623200,52.32,52.96,52.1,52.52,52.59,4652.41640339,542
1787626800,52.53,52.74,52.33,52.33,52.48,1490.59218248,331
1787630400,52.33,52.51,52.13,52.36,52.33,937.41740465,359
1787634000,52.38,52.72,52.36,52.67,52.62,751.88810994,211
1787637600,52.62,52.68,51.9,51.98,52.22,1559.57169443,236
1787641200,51.99,52.29,51.33,51.68,52.05,3210.48321893,343
1787644800,51.72,51.99,51.53,51.69,51.79,620.00523986,167
1787648400,51.69,51.76,51.0,51.29,51.47,2144.57682867,248
1787652000,51.28,51.52,51.15,51.49,51.39,1325.84891504,204
1787655600,51.43,51.48,51.08,51.09,51.25,2027.76315164,272
1787659200,51.08,51.42,50.83,51.36,51.12,3299.9647296,367
1787662800,51.32,51.33,50.31,50.76,50.85,5534.82837647,519
1787666400,50.76,51.26,50.64,50.95,51.01,3138.55448339,412
1787670000,50.94,51.21,50.82,51.21,51.0,2974.59829241,433
1787673600,51.2,51.23,50.95,51.03,51.11,1052.04098591,337
1787677200,51.06,51.11,50.74,51.04,50.9,1071.60255606,307
1787680800,51.04,51.23,50.98,51.12,51.11,969.92313317,305
1787684400,51.12,51.15,50.73,50.84,50.88,2590.27537651,343
1787688000,50.86,50.88,49.91,50.12,50.31,6082.37078554,606
1787691600,50.08,50.38,49.51,50.34,49.88,5479.51053435,680
1787695200,50.35,50.73,50.35,50.54,50.56,934.36872377,315
1787698800,50.52,50.57,49.87,49.96,50.13,1033.18911001,264
1787702400,49.95,50.35,49.78,50.24,50.02,741.12524817,290
1787706000,50.23,50.47,50.11,50.32,50.36,1216.16400627,263
1787709600,50.32,50.49,50.0,50.44,50.19,2577.59980884,286
1787713200,50.44,50.54,50.27,50.35,50.4,488.99326768,182
1787716800,50.25,50.41,49.98,50.02,50.24,1189.05261503,240
1787720400,50.01,50.43,49.88,50.35,50.27,515.30055084,153
1787724000,50.33,50.41,49.98,50.16,50.3,1048.14135424,196
1787727600,50.12,50.35,50.05,50.18,50.18,581.49225618,152
1787731200,50.19,50.42,50.14,50.17,50.3,325.87197598,148
1787734800,50.21,50.37,49.97,50.12,50.19,1171.85889212,257
1787738400,50.13,50.71,49.96,50.69,50.28,590.72114174,208
1787742000,50.7,50.83,50.42,50.57,50.66,676.0610751,248
1787745600,50.66,50.9,50.28,50.47,50.52,1720.84480734,313
1787749200,50.46,50.46,49.9,50.19,50.14,2300.78688426,301
1787752800,50.07,50.31,49.46,49.46,49.71,4253.79205026,442
1787756400,49.51,49.65,49.21,49.55,49.4,3009.08242663,517
1787760000,49.57,49.84,49.51,49.81,49.63,1732.60585437,379
1787763600,49.77,50.05,49.74,49.95,49.9,787.2132598,402
1787767200,49.89,50.03,49.81,49.94,49.92,2046.91074358,419
1787770800,49.95,50.0,49.75,49.84,49.87,1052.37260307,332
1787774400,49.84,49.91,49.65,49.9,49.86,3349.55244544,365
1787778000,49.91,50.16,49.81,50.14,49.95,2596.15762358,338
1787781600,50.08,50.47,50.02,50.15,50.2,1255.66445002,328
1787785200,50.06,50.57,50.03,50.5,50.27,1182.88966029,310
1787788800,50.5,50.5,49.89,49.9,50.12,2076.23564699,331
1787792400,49.9,50.19,49.81,49.99,50.0,778.21540659,254
1787796000,50.01,50.14,49.91,49.93,49.98,656.41187259,238
1787799600,49.94,50.09,49.79,49.94,49.99,1574.57752015,217
1787803200,49.98,50.02,49.68,49.72,49.87,523.92876595,181
1787806800,49.74,49.8,49.42,49.77,49.61,952.95408867,211
1787810400,49.76,49.78,49.55,49.75,49.65,980.38008972,156
1787814000,49.75,49.85,49.64,49.8,49.74,700.93482215,186
1787817600,49.79,50.26,49.68,50.19,50.06,4567.89397346,367
1787821200,50.18,50.5,50.07,50.27,50.3,1726.40449795,254
1787824800,50.21,50.35,49.61,49.91,49.89,2080.94062083,313
1787828400,49.9,50.1,49.69,49.87,49.88,817.01331024,254
1787832000,49.89,49.95,49.66,49.68,49.82,811.79416859,292
1787835600,49.68,50.19,49.66,50.09,49.9,3848.17311178,442
1787839200,50.07,50.46,49.85,50.25,50.22,4874.99146665,529
1787842800,50.26,50.55,49.95,50.18,50.35,4266.89276734,488
1787846400,50.21,50.51,50.12,50.26,50.36,4108.69652042,498
1787850000,50.26,50.49,50.04,50.19,50.23,5199.06623552,481
1787853600,50.19,50.2,49.73,49.99,49.88,4209.93689892,527
1787857200,49.97,50.09,49.91,50.0,49.98,1764.51434253,364
1787860800,50.0,50.12,49.88,50.02,49.97,2393.82698427,394
1787864400,49.99,50.06,49.81,49.99,49.92,1494.92274341,338
1787868000,49.99,50.21,49.97,50.0,50.07,2323.89164785,379
1787871600,50.0,50.02,49.9,49.94,49.96,1039.17496795,326
1787875200,49.94,50.2,49.7,50.12,49.9,1288.12771742,370
1787878800,50.1,50.48,49.99,49.99,50.19,3333.32443208,373
1787882400,49.99,49.99,49.01,49.39,49.35,10559.9475436,620
1787886000,49.36,49.46,49.17,49.39,49.36,1357.10466784,302
1787889600,49.36,49.49,49.14,49.27,49.25,1232.48391805,240
1787893200,49.23,49.34,49.03,49.21,49.18,806.72776295,241
1787896800,49.21,49.45,49.21,49.39,49.31,710.98158741,217
1787900400,49.38,49.41,49.16,49.18,49.23,740.39999841,215
1787904000,49.22,49.32,48.97,49.0,49.09,1619.25604665,333
1787907600,49.01,49.13,48.84,48.97,48.97,3067.10155417,382
