time,open,high,low,close,vwap,volume,count
1786935600,75.42,75.52,75.38,75.44,75.44,5178.79287671,405
1786939200,75.44,75.56,75.43,75.49,75.48,1663.41732638,345
1786942800,75.5,75.54,75.33,75.33,75.45,1817.02683137,343
1786946400,75.34,75.92,75.29,75.76,75.64,5512.39366123,477
1786950000,75.77,75.87,75.69,75.72,75.75,1167.87938953,332
1786953600,75.72,75.74,75.11,75.17,75.41,3558.62282164,463
1786957200,75.18,75.34,75.16,75.28,75.2,25143.03236215,1545
1786960800,75.28,75.73,75.23,75.7,75.38,1522.03536206,422
1786964400,75.7,75.85,75.59,75.59,75.71,1995.70795761,433
1786968000,75.63,75.64,75.28,75.36,75.42,2250.23045657,528
1786971600,75.36,75.69,75.21,75.54,75.46,9905.39110626,722
1786975200,75.55,75.94,75.44,75.9,75.78,9308.05750974,666
1786978800,75.89,76.16,75.75,76.02,75.93,4563.91581806,670
1786982400,76.04,76.07,75.88,75.95,75.98,4121.2593654,685
1786986000,75.96,76.06,75.65,75.86,75.84,6449.80511695,602
1786989600,75.85,76.1,75.8,75.84,75.93,5185.00303575,624
1786993200,75.82,75.87,75.68,75.72,75.75,2715.11068568,502
1786996800,75.72,76.03,75.57,75.93,75.77,2439.95887865,606
1787000400,75.94,76.0,75.83,75.9,75.92,1927.32052251,452
1787004000,75.9,75.96,75.65,75.67,75.72,3816.64896874,438
1787007600,75.69,76.04,75.64,75.96,75.91,3350.90900582,359
1787011200,75.96,76.03,75.8,75.98,75.89,1090.34789193,377
1787014800,75.98,76.0,75.53,75.54,75.72,1134.09160856,424
1787018400,75.54,75.59,75.15,75.2,75.36,2684.31850247,618
1787022000,75.22,75.47,75.18,75.44,75.34,1388.33952306,351
1787025600,75.43,75.75,75.34,75.75,75.55,3467.44584971,404
1787029200,75.75,75.88,75.51,75.67,75.65,4528.61115972,397
1787032800,75.68,75.97,75.58,75.91,75.81,1922.00513134,327
1787036400,75.96,76.17,75.89,76.01,76.0,4950.26920135,388
1787040000,76.03,76.11,75.79,76.1,75.9,2087.59815272,302
1787043600,76.09,76.09,75.82,75.87,75.9,2021.52745318,297
1787047200,75.87,75.9,75.73,75.77,75.8,1443.83135706,310
1787050800,75.76,76.35,75.75,76.24,76.08,4927.77459328,448
1787054400,76.27,76.41,76.17,76.21,76.27,7317.06380921,528
1787058000,76.19,76.19,75.99,76.14,76.07,3216.53049563,566
1787061600,76.14,77.25,76.09,76.73,76.79,14980.50110324,1201
1787065200,76.73,77.2,76.73,77.11,77.05,14094.391115,786
1787068800,77.12,77.28,76.81,77.01,77.07,8958.3390147,684
1787072400,77.02,77.04,76.84,76.85,76.91,2184.35192059,503
1787076000,76.84,77.24,76.83,77.23,77.1,2735.76770966,536
1787079600,77.23,77.34,77.04,77.13,77.18,5308.82174353,542
1787083200,77.14,77.17,76.72,76.84,76.95,4822.37143506,580
1787086800,76.83,77.05,76.83,76.95,76.92,2207.45371137,410
1787090400,76.96,77.15,76.83,76.91,77.01,2943.49698458,488
1787094000,76.91,77.17,76.89,77.0,77.08,1540.8218747,359
1787097600,77.04,77.05,76.77,76.86,76.94,5161.01301911,482
1787101200,76.84,77.01,76.66,76.74,76.81,5481.57882645,494
1787104800,76.75,76.87,76.65,76.76,76.72,1342.79897424,362
1787108400,76.76,77.03,76.67,76.94,76.81,1278.11457636,296
1787112000,76.95,77.07,76.75,76.83,76.82,3578.26560883,315
1787115600,76.8,76.99,76.72,76.74,76.84,1868.85494481,323
1787119200,76.74,77.09,76.56,77.02,76.74,4265.87405225,390
1787122800,77.03,77.03,76.88,76.91,76.95,1398.05066369,256
1787126400,76.91,77.6,76.85,77.34,77.22,5741.264614,535
1787130000,77.34,77.42,77.15,77.27,77.28,2227.08326061,409
1787133600,77.25,77.32,77.16,77.32,77.22,10482.6355256,417
1787137200,77.31,77.55,77.31,77.46,77.48,5563.33063321,452
1787140800,77.48,78.75,77.36,78.34,78.16,23018.78318282,1517
1787144400,78.34,78.63,78.12,78.34,78.39,8602.13930893,959
1787148000,78.36,80.97,78.32,80.79,79.87,39129.57230025,2671
1787151600,80.81,82.86,80.65,81.83,81.77,110369.43158145,7111
1787155200,81.81,82.32,81.54,81.57,81.87,23798.66701687,1950
