time,open,high,low,close,vwap,volume,count
1787036400,0.9977,0.99813,0.99441,0.99573,0.99604,117196.13666136,251
1787040000,0.99576,0.99738,0.9917,0.99601,0.99426,117430.42918891,281
1787043600,0.99557,0.99633,0.99372,0.99499,0.99492,260309.69727904,344
1787047200,0.9951,0.99541,0.99401,0.99524,0.99467,156025.85658513,385
1787050800,0.99521,1.00174,0.99517,0.99771,0.99829,283809.68533624,416
1787054400,0.9977,0.99832,0.9967,0.99692,0.99725,132731.3769513,514
1787058000,0.9968,0.99829,0.99503,0.99724,0.99671,319985.35199649,638
1787061600,0.99744,1.00545,0.99601,1.00022,1.00005,829908.765176,964
1787065200,1.00062,1.004,0.99959,1.00316,1.00141,283427.19784887,662
1787068800,1.00322,1.00356,1.00001,1.00157,1.00132,183368.15963249,538
1787072400,1.00159,1.00159,0.99976,1.0,1.00048,492178.07212784,585
1787076000,1.00001,1.00193,1.0,1.00063,1.00081,205372.47030801,501
1787079600,1.00056,1.00243,1.00026,1.00195,1.00128,269319.47043072,646
1787083200,1.00209,1.00287,0.9981,0.99964,1.00085,474693.94633327,622
1787086800,0.99967,1.00178,0.99964,0.99979,1.00041,183544.91147412,503
1787090400,0.99994,1.00177,0.9985,0.99984,0.99991,284785.34928856,575
1787094000,0.99984,1.0029,0.99976,1.00107,1.00189,233227.37997024,452
1787097600,1.00142,1.00142,0.99569,0.99569,0.99742,279196.83775626,655
1787101200,0.99556,0.99958,0.99538,0.99807,0.9977,343524.38782771,518
1787104800,0.99807,0.99835,0.99696,0.99759,0.99783,119183.41791406,386
1787108400,0.9976,1.00056,0.997,0.9994,0.999,175710.48149235,365
1787112000,0.99937,1.0001,0.999,0.99923,0.99931,117996.84550983,361
1787115600,0.99909,1.00103,0.99858,0.99918,0.99948,341434.67556747,328
1787119200,0.99931,1.00423,0.99848,1.00336,1.00254,257558.22613998,312
1787122800,1.00344,1.0054,1.0022,1.00268,1.00403,309623.24654643,399
1787126400,1.00263,1.00864,1.00243,1.00553,1.00551,467743.67918878,537
1787130000,1.00559,1.0067,1.00269,1.00336,1.0047,310761.97892114,260
1787133600,1.00336,1.00474,1.00248,1.00463,1.00374,750380.24344136,468
1787137200,1.00462,1.00598,1.00395,1.00509,1.00487,117951.30339234,391
1787140800,1.00502,1.01146,1.00494,1.01046,1.00898,541540.86175142,777
1787144400,1.01046,1.02293,1.00947,1.01616,1.0168,1212341.70896344,1710
1787148000,1.01616,1.0339,1.01485,1.03253,1.02252,1254549.6898379,1604
1787151600,1.03288,1.07372,1.02989,1.06744,1.06061,7869564.69093654,6048
1787155200,1.06741,1.06998,1.06337,1.0639,1.0674,3313708.786746,2140
1787158800,1.06398,1.0643,1.05168,1.06143,1.05858,4146255.58008161,2051
1787162400,1.0618,1.06972,1.05546,1.06915,1.06324,1024951.65645373,1264
1787166000,1.06893,1.07028,1.06409,1.06737,1.06734,1166706.13862788,1498
1787169600,1.06745,1.10372,1.06745,1.0991,1.09052,5132111.84169517,3487
1787173200,1.09909,1.13237,1.09581,1.13234,1.11544,8574083.53633376,5269
1787176800,1.13235,1.13487,1.09878,1.10185,1.12165,5214731.5965493,3921
1787180400,1.10185,1.10557,1.0941,1.10537,1.10179,2086160.90659944,1645
1787184000,1.10521,1.1127,1.10392,1.10596,1.10941,1399484.7223303,1486
1787187600,1.10628,1.11517,1.1053,1.11115,1.11033,810458.96198142,1257
1787191200,1.11129,1.11338,1.09843,1.09859,1.10389,613610.45977327,1022
1787194800,1.0986,1.09904,1.0875,1.09289,1.09235,1378911.85507259,1447
1787198400,1.09297,1.10064,1.09231,1.09936,1.09605,537014.56702675,813
1787202000,1.09916,1.10919,1.09889,1.10362,1.10322,429598.15033398,716
1787205600,1.10372,1.11087,1.09958,1.11084,1.10521,860401.23505658,787
1787209200,1.11023,1.11256,1.10689,1.11114,1.10916,1508187.98984235,626
1787212800,1.1115,1.155,1.11045,1.15236,1.13865,2702042.16518258,2813
1787216400,1.15236,1.16224,1.14474,1.14841,1.15483,1701361.18037629,2055
1787220000,1.14837,1.16556,1.14653,1.1596,1.15583,1166738.21531911,1578
1787223600,1.15956,1.19527,1.15636,1.19,1.18281,8105163.92482083,3849
1787227200,1.19038,1.19614,1.17749,1.19189,1.1861,3825894.62948195,3102
1787230800,1.19243,1.22324,1.18841,1.21919,1.20571,4000642.52142797,4448
1787234400,1.21963,1.24559,1.215,1.22672,1.23376,6312097.89778926,5377
1787238000,1.22692,1.26331,1.22471,1.26085,1.24739,6072158.79156323,5176
1787241600,1.26089,1.3162,1.25172,1.3142,1.28233,6535294.93362637,6552
1787245200,1.31427,1.34369,1.30499,1.3096,1.32349,9990141.81557555,7788
1787248800,1.30979,1.31749,1.22794,1.22941,1.27148,13869659.9165973,9278
1787252400,1.22874,1.23927,1.22009,1.23189,1.23052,5258312.66992089,4412
1787256000,1.23251,1.24725,1.23035,1.24342,1.24066,8333235.04403334,3109
1787259600,1.24393,1.27156,1.2427,1.25723,1.26327,3343567.22537738,2511
1787263200,1.25737,1.2654,1.25328,1.25682,1.25754,2580849.37455061,1977
1787266800,1.25608,1.27452,1.255,1.268,1.26738,1790972.17107368,1778
1787270400,1.26846,1.27333,1.25915,1.26508,1.26563,1065357.07921884,1673
1787274000,1.264,1.30234,1.2635,1.29588,1.28789,3941335.23343203,3613
1787277600,1.29585,1.3,1.28164,1.28845,1.29127,3289516.62825683,2422
1787281200,1.28916,1.3183,1.28415,1.30824,1.30532,11405851.87389791,3416
1787284800,1.30835,1.32037,1.29577,1.31402,1.30827,1735682.24981057,2015
1787288400,1.31413,1.31413,1.30344,1.3093,1.30931,2206298.16848557,1686
1787292000,1.30962,1.32,1.29632,1.29811,1.30761,2111549.70150323,1753
1787295600,1.29803,1.32089,1.29747,1.31237,1.31315,951133.26086702,1651
1787299200,1.31394,1.39935,1.31316,1.3991,1.36226,5312096.45639596,5094
1787302800,1.3993,1.42981,1.3378,1.41999,1.38674,10531523.94706776,6810
1787306400,1.41965,1.42464,1.36691,1.38347,1.38654,5687231.32442,4410
1787310000,1.38548,1.40517,1.355,1.35693,1.37987,4209834.76413751,3729
1787313600,1.3571,1.38726,1.34053,1.38068,1.35675,13843898.08003411,4098
1787317200,1.38068,1.42198,1.36594,1.41893,1.40055,7215827.35517078,5005
1787320800,1.41578,1.4175,1.38855,1.39985,1.39617,12494888.98673764,4276
1787324400,1.39996,1.41887,1.39518,1.40282,1.40725,2450739.90985749,2801
1787328000,1.40413,1.407,1.38607,1.39927,1.39501,2371318.15508859,2582
1787331600,1.39956,1.414,1.37494,1.38629,1.38672,3228663.43729285,3036
1787335200,1.38687,1.39949,1.36848,1.37763,1.37942,2948299.58730669,2741
