ts,equity,cash,gross_exposure,n_positions,fees_paid,slippage_paid
1789530957,10000.0,10000.0,0,0,0.0,0.0
1789532594,10000.0,10000.0,0,0,0.0,0.0
1789536103,9988.7519,2492.5,7496.2519,3,7.5,3.7481
1789540084,9970.5237,2492.5,7478.0237,3,7.5,3.7481
1789543394,9964.9255,2492.5,7472.4255,3,7.5,3.7481
1789547073,9919.6025,2492.5,7427.1025,3,7.5,3.7481
1789550572,9953.5036,0.7015,9952.8021,4,9.9893,4.9922
1789554212,9962.0273,0.7015,9961.3259,4,9.9893,4.9922
1789557775,9967.6937,0.7015,9966.9922,4,9.9893,4.9922
1789561696,9966.8151,0.7015,9966.1136,4,9.9893,4.9922
1789565065,9932.2828,0.7015,9931.5813,4,9.9893,4.9922
1789568627,9904.6913,0.7015,9903.9899,4,9.9893,4.9922
1789572176,9916.606,0.7015,9915.9045,4,9.9893,4.9922
1789575763,9928.5284,0.7015,9927.827,4,9.9893,4.9922
1789579223,9918.4165,0.7015,9917.7151,4,9.9893,4.9922
1789583091,9972.6546,0.7015,9971.9531,4,9.9893,4.9922
1789586468,9921.5382,0.7015,9920.8367,4,9.9893,4.9922
