ts,equity,cash,gross_exposure,n_positions,fees_paid,slippage_paid
1789530957,10000.0,10000.0,0.0,0,0.0,0.0
1789532594,10000.0,10000.0,0.0,0,0.0,0.0
1789536103,9988.7519,2492.5,7496.2519,3,7.5,3.7481
1789540084,9970.5237,2492.5,7478.0237,3,7.5,3.7481
1789543394,9964.9255,2492.5,7472.4255,3,7.5,3.7481
1789547073,9919.6025,2492.5,7427.1025,3,7.5,3.7481
1789550572,9953.5036,0.7015,9952.8021,4,9.9893,4.9922
1789554212,9962.0273,0.7015,9961.3259,4,9.9893,4.9922
1789557775,9967.6937,0.7015,9966.9922,4,9.9893,4.9922
1789561696,9966.8151,0.7015,9966.1136,4,9.9893,4.9922
1789565065,9932.2828,0.7015,9931.5813,4,9.9893,4.9922
1789568627,9904.6913,0.7015,9903.9899,4,9.9893,4.9922
1789572176,9916.606,0.7015,9915.9045,4,9.9893,4.9922
1789575763,9928.5284,0.7015,9927.827,4,9.9893,4.9922
1789579223,9918.4165,0.7015,9917.7151,4,9.9893,4.9922
1789583091,9972.6546,0.7015,9971.9531,4,9.9893,4.9922
1789586468,9921.5382,0.7015,9920.8367,4,9.9893,4.9922
1789590185,10055.0107,0.7015,10054.3092,4,9.9893,4.9922
1789593741,10011.6699,0.7015,10010.9684,4,9.9893,4.9922
1789597278,9954.3946,0.7015,9953.6931,4,9.9893,4.9922
1789600850,10022.0303,0.7015,10021.3288,4,9.9893,4.9922
1789604925,10068.2494,0.7015,10067.548,4,9.9893,4.9922
1789608121,10054.4257,0.7015,10053.7242,4,9.9893,4.9922
1789611755,10029.2257,0.7015,10028.5243,4,9.9893,4.9922
1789615365,10091.4259,0.7015,10090.7245,4,9.9893,4.9922
1789619001,10063.9507,0.7015,10063.2493,4,9.9893,4.9922
1789622522,10111.2671,0.7015,10110.5657,4,9.9893,4.9922
1789626493,10097.8777,0.7015,10097.1763,4,9.9893,4.9922
1789628820,10170.2926,0.7015,10169.5911,4,9.9893,4.9922
1789629838,10165.5144,0.7015,10164.8129,4,9.9893,4.9922
1789633496,10161.7286,0.7015,10161.0272,4,9.9893,4.9922
1789636984,10193.8314,2583.4969,7610.3345,3,12.5747,6.2855
1789640572,10136.9205,2583.4969,7553.4236,3,12.5747,6.2855
1789644130,10146.455,2583.4969,7562.9581,3,12.5747,6.2855
