ts,equity,cash,gross_exposure,n_positions,fees_paid,slippage_paid
1789530957,10000.0,10000.0,0,0,0.0,0.0
1789532594,10000.0,10000.0,0,0,0.0,0.0
1789536103,10000.0,10000.0,0,0,0.0,0.0
1789540084,10000.0,10000.0,0,0,0.0,0.0
1789543394,10000.0,10000.0,0,0,0.0,0.0
1789547073,10000.0,10000.0,0,0,0.0,0.0
1789550572,10000.0,10000.0,0,0,0.0,0.0
1789554212,10000.0,10000.0,0,0,0.0,0.0
1789557775,10000.0,10000.0,0,0,0.0,0.0
1789561696,10000.0,10000.0,0,0,0.0,0.0
1789565065,10000.0,10000.0,0,0,0.0,0.0
1789568627,10000.0,10000.0,0,0,0.0,0.0
1789572176,10000.0,10000.0,0,0,0.0,0.0
1789575763,10000.0,10000.0,0,0,0.0,0.0
1789579223,10000.0,10000.0,0,0,0.0,0.0
1789583091,10000.0,10000.0,0,0,0.0,0.0
1789586468,10000.0,10000.0,0,0,0.0,0.0
1789590185,10000.0,10000.0,0,0,0.0,0.0
1789593741,10000.0,10000.0,0,0,0.0,0.0
1789597278,10000.0,10000.0,0,0,0.0,0.0
1789600850,10000.0,10000.0,0,0,0.0,0.0
1789604925,9996.2506,7497.5,2498.7506,1,2.5,1.2494
1789608121,9992.42,7497.5,2494.92,1,2.5,1.2494
1789611755,9985.2583,7497.5,2487.7583,1,2.5,1.2494
1789615365,10003.9119,7497.5,2506.4119,1,2.5,1.2494
1789619001,9998.7489,7497.5,2501.2489,1,2.5,1.2494
