ts,account,pair,side,qty,price,ref_price,notional,fee,slippage_cost,reason,equity_after,half_spread_bps,slip_bps
1789604925,champion,AVAX,buy,333.10012993,7.50525075,7.5015,2500.0,2.5,1.24937531,enter long: 72h return +2.47% vs entry band +1.0% and price above 24h EMA; realised vol 64% -> weight 0.25,9996.25062469,,
1789651407,champion,DOT,buy,2418.20985761,1.03620713,1.03565,2505.76629629,2.5057663,1.34725726,enter long: 72h return +2.15% vs entry band +1.0% and price above 24h EMA; realised vol 84% -> weight 0.25,10019.21216159,3.37952011,5.37952011
1789680105,champion,AVAX,sell,333.10012993,7.59470075,7.5985,2529.79580662,2.52979581,1.26553067,exit: 72h return -1.40% fell below exit band -1.0%,10095.15202989,0.65802461,5.0
1789691299,champion,LTC,buy,46.90811599,53.9619675,53.935,2531.25423041,2.53125423,1.26499462,enter long: 72h return +1.52% vs entry band +1.0% and price above 24h EMA; realised vol 52% -> weight 0.25,10121.22067278,2.78112543,5.0
1789698191,champion,AVAX,buy,332.03539692,7.689843,7.686,2553.30007276,2.55330007,1.27601203,enter long: 72h return +1.96% vs entry band +1.0% and price above 24h EMA; realised vol 62% -> weight 0.25,10209.37097892,1.30106687,5.0
1789701706,champion,ADA,buy,11261.77686028,0.21527959,0.215172,2424.43066011,2.42443066,1.21160953,enter long: 72h return +2.93% vs entry band +1.0% and price above 24h EMA; realised vol 74% -> weight 0.25,10285.05767799,2.37019687,5.0
1789705338,champion,ADA,sell,4378.80327446,0.21384652,0.2139535,936.39185624,0.93639186,0.46843014,stay long: 72h return +5.38% vs exit band -1.0% and price above 24h EMA; realised vol 75% -> weight 0.25,10310.32821267,0.02336956,5.0
1789705338,champion,AVAX,sell,145.50928916,7.89055275,7.8945,1148.14872175,1.14814872,0.57436154,stay long: 72h return +5.35% vs exit band -1.0% and price above 24h EMA; realised vol 65% -> weight 0.25,10308.6057024,0.63335233,5.0
1789705338,champion,LINK,buy,125.49443982,11.73840627,11.73254,1473.10471924,1.47310472,0.73618427,enter long: 72h return +2.22% vs entry band +1.0% and price above 24h EMA; realised vol 63% -> weight 0.25,10306.39641342,1.4404383,5.0
1789705338,champion,DOGE,buy,7200.87861096,0.0843329,0.08429075,607.27094251,0.60727094,0.30348373,enter long: 72h return +1.38% vs entry band +1.0% and price above 24h EMA; realised vol 55% -> weight 0.25,10305.48565874,1.37025712,5.0
