time,open,high,low,close,vwap,volume,count
1726556400,0.3337,0.3339,0.3327,0.3337,0.3334333333333333,191356.08702791,0
1726560000,0.3337,0.3345,0.333,0.334,0.33383333333333337,198389.04421028,0
1726563600,0.3339,0.335,0.3324,0.3336,0.3336666666666666,199859.66154236,0
1726567200,0.3336,0.3344,0.333,0.3341,0.33383333333333337,817234.62496617,0
1726570800,0.334,0.3344,0.3308,0.3314,0.3322,850857.10224323,0
1726574400,0.3314,0.3333,0.3309,0.3328,0.3323333333333333,373689.96853305,0
1726578000,0.3328,0.3334,0.3309,0.3319,0.3320666666666667,388654.17256692,0
1726581600,0.3319,0.3385,0.3315,0.3366,0.3355333333333334,557007.05601048,0
1726585200,0.3368,0.3432,0.3367,0.3409,0.34026666666666666,858863.82231769,0
1726588800,0.3409,0.3412,0.3358,0.3363,0.3377666666666667,520678.0329328,0
1726592400,0.3364,0.3373,0.3357,0.3365,0.3365,324194.61176945,0
1726596000,0.3365,0.3375,0.3335,0.3346,0.3352,482503.88124837,0
1726599600,0.3345,0.3354,0.3315,0.3337,0.3335333333333333,755005.4299786,0
1726603200,0.3337,0.3354,0.3327,0.3338,0.3339666666666667,352667.78562376,0
1726606800,0.3338,0.3357,0.3333,0.3344,0.3344666666666667,285837.04159683,0
1726610400,0.3344,0.3347,0.3326,0.3344,0.33390000000000003,445403.20050587,0
1726614000,0.3344,0.3349,0.3333,0.3339,0.33403333333333335,120499.23426947,0
1726617600,0.3339,0.3339,0.3308,0.3333,0.33266666666666667,313241.48140349,0
1726621200,0.3333,0.3343,0.3327,0.3334,0.33346666666666663,167736.39195673,0
1726624800,0.3334,0.3377,0.3331,0.3373,0.33603333333333335,443783.54078415,0
1726628400,0.3373,0.3388,0.3366,0.3367,0.33736666666666665,622137.01335623,0
1726632000,0.3367,0.3373,0.3342,0.335,0.33549999999999996,322969.79086219,0
1726635600,0.3349,0.3353,0.3339,0.3342,0.3344666666666667,194343.41500222,0
1726639200,0.3342,0.3355,0.3337,0.3346,0.3346,246686.30487031,0
1726642800,0.3346,0.3351,0.3333,0.3339,0.3341,362403.2086374,0
1726646400,0.3339,0.3339,0.3317,0.332,0.33253333333333335,258791.07217139,0
1726650000,0.332,0.3321,0.3286,0.3289,0.3298666666666667,422755.06493151,0
1726653600,0.3288,0.3313,0.3283,0.3311,0.3302333333333333,489471.86142209,0
1726657200,0.3311,0.3327,0.3305,0.3307,0.3313,332144.95119148,0
1726660800,0.3307,0.3317,0.33,0.3315,0.3310666666666667,656962.22822589,0
1726664400,0.3315,0.3322,0.3284,0.3292,0.32993333333333336,767433.38328166,0
1726668000,0.3292,0.3308,0.3289,0.33,0.3299,1161272.09731593,0
1726671600,0.33,0.3315,0.3273,0.3285,0.3291,642763.16831504,0
1726675200,0.3285,0.3311,0.3272,0.3309,0.3297333333333334,346514.16236122,0
1726678800,0.3309,0.3324,0.3287,0.3311,0.3307333333333333,315400.35469967,0
1726682400,0.3311,0.3401,0.3304,0.3377,0.3360666666666667,1445292.0653953,0
1726686000,0.3376,0.3384,0.3338,0.3343,0.33549999999999996,926328.02876926,0
1726689600,0.3343,0.3362,0.3316,0.3359,0.3345666666666666,435817.55684769,0
1726693200,0.3359,0.338,0.3356,0.336,0.33653333333333335,200788.4063228,0
1726696800,0.336,0.3381,0.3358,0.338,0.3373,215846.8424422,0
1726700400,0.3381,0.3443,0.3381,0.3442,0.3422,618808.07253101,0
1726704000,0.3443,0.3512,0.3443,0.3502,0.3485666666666667,1373057.25476917,0
1726707600,0.3502,0.3516,0.347,0.3506,0.3497333333333333,1483862.49694044,0
1726711200,0.3506,0.3517,0.3491,0.3496,0.3501333333333334,1008464.96393171,0
1726714800,0.3496,0.3502,0.348,0.349,0.34906666666666664,528573.06202363,0
1726718400,0.349,0.35,0.3479,0.3496,0.3491666666666666,880971.31359077,0
1726722000,0.3496,0.35,0.3471,0.3478,0.34830000000000005,415354.10516169,0
1726725600,0.3478,0.3481,0.3459,0.3463,0.34676666666666667,541408.43130395,0
1726729200,0.3462,0.3479,0.3452,0.3477,0.3469333333333333,849234.12764205,0
1726732800,0.3477,0.3489,0.3462,0.3464,0.3471666666666667,253095.31347372,0
1726736400,0.3464,0.3491,0.346,0.3478,0.3476333333333333,546911.94857071,0
1726740000,0.3478,0.3496,0.3474,0.3477,0.3482333333333334,259673.861746,0
1726743600,0.3477,0.3496,0.3475,0.3494,0.34883333333333333,497630.23245768,0
1726747200,0.3494,0.3514,0.3488,0.3507,0.3503,1339932.29103602,0
1726750800,0.3506,0.3517,0.3491,0.3506,0.3504666666666667,921308.89648842,0
1726754400,0.3507,0.3549,0.3504,0.3526,0.35263333333333335,1234194.99900377,0
1726758000,0.3527,0.3539,0.3509,0.3522,0.35233333333333333,2103677.33878367,0
1726761600,0.3522,0.3561,0.3521,0.355,0.35440000000000005,1871395.51830314,0
1726765200,0.355,0.3566,0.3536,0.3553,0.35516666666666663,727472.03603153,0
