time,open,high,low,close,vwap,volume,count
1726556400,23.75,23.83,23.67,23.79,23.763333333333332,6311.80162863,0
1726560000,23.8,23.88,23.69,23.73,23.766666666666666,4826.736174,0
1726563600,23.7,23.94,23.68,23.89,23.83666666666667,5093.38752446,0
1726567200,23.91,24.02,23.86,24.01,23.963333333333335,5772.60648982,0
1726570800,24.03,24.03,23.79,23.83,23.883333333333336,10625.31401997,0
1726574400,23.84,23.92,23.75,23.91,23.86,11525.97925231,0
1726578000,23.9,23.93,23.62,23.64,23.73,5035.62966093,0
1726581600,23.63,24.34,23.63,24.16,24.043333333333333,42170.59836943,0
1726585200,24.16,24.49,24.16,24.4,24.349999999999998,35356.82654119,0
1726588800,24.4,24.47,24.06,24.1,24.209999999999997,35231.22848558,0
1726592400,24.1,24.22,24.05,24.1,24.123333333333335,5966.53892693,0
1726596000,24.07,24.14,23.87,23.95,23.986666666666668,6257.64950298,0
1726599600,23.94,24.04,23.71,23.86,23.87,9279.44942542,0
1726603200,23.86,23.96,23.79,23.82,23.856666666666666,14338.82861596,0
1726606800,23.82,23.98,23.82,23.91,23.903333333333332,4904.58968748,0
1726610400,23.91,23.92,23.79,23.79,23.833333333333332,5530.24978439,0
1726614000,23.77,23.78,23.7,23.78,23.753333333333334,8882.77394379,0
1726617600,23.76,23.77,23.51,23.72,23.666666666666668,16478.64046247,0
1726621200,23.71,23.75,23.62,23.67,23.680000000000003,5654.17193842,0
1726624800,23.66,23.81,23.64,23.79,23.74666666666667,5581.70788074,0
1726628400,23.8,23.9,23.8,23.85,23.850000000000005,6405.06075116,0
1726632000,23.84,23.86,23.59,23.66,23.703333333333333,6494.53663964,0
1726635600,23.66,23.7,23.58,23.67,23.650000000000002,3044.72794821,0
1726639200,23.66,23.7,23.55,23.63,23.626666666666665,7446.80452554,0
1726642800,23.62,23.71,23.61,23.62,23.646666666666665,7113.60744593,0
1726646400,23.6,23.62,23.46,23.46,23.513333333333332,6305.81519762,0
1726650000,23.45,23.46,23.21,23.21,23.293333333333333,5873.3036874,0
1726653600,23.2,23.32,23.08,23.31,23.236666666666665,18952.13269483,0
1726657200,23.31,23.37,23.26,23.26,23.296666666666667,11644.44204705,0
1726660800,23.25,23.33,23.15,23.31,23.263333333333332,4933.93922991,0
1726664400,23.31,23.37,23.0,23.09,23.153333333333336,30323.38975189,0
1726668000,23.08,23.18,23.0,23.06,23.08,18023.3251137,0
1726671600,23.06,23.11,22.85,22.93,22.963333333333335,12639.04022482,0
1726675200,22.92,23.16,22.79,23.14,23.03,19203.05094621,0
1726678800,23.14,23.23,22.88,23.14,23.083333333333332,40659.48897285,0
1726682400,23.14,23.82,23.08,23.57,23.49,107962.50659759,0
1726686000,23.57,23.64,23.32,23.41,23.456666666666667,59781.05782159,0
1726689600,23.4,23.65,23.21,23.64,23.5,41898.64078358,0
1726693200,23.65,23.79,23.61,23.71,23.703333333333333,18429.30378498,0
1726696800,23.73,24.01,23.73,23.99,23.91,22828.42605321,0
1726700400,24.0,24.77,24.0,24.72,24.496666666666666,78602.3474471,0
1726704000,24.74,26.03,24.74,26.01,25.593333333333334,123051.0929649,0
1726707600,26.03,26.17,25.66,26.02,25.95,60326.03226428,0
1726711200,26.02,26.05,25.77,25.81,25.876666666666665,19909.10242514,0
1726714800,25.81,25.91,25.61,25.64,25.72,19498.38057227,0
1726718400,25.65,25.83,25.59,25.81,25.743333333333336,11992.02026792,0
1726722000,25.82,25.87,25.67,25.76,25.76666666666667,15184.34987899,0
1726725600,25.77,25.93,25.72,25.76,25.80333333333333,23752.86172043,0
1726729200,25.75,25.94,25.69,25.93,25.853333333333335,6111.60067994,0
1726732800,25.92,26.1,25.88,25.93,25.97,32089.52941916,0
1726736400,25.96,26.26,25.95,26.1,26.103333333333335,19831.63818579,0
1726740000,26.1,26.37,26.07,26.15,26.19666666666667,25441.69260925,0
1726743600,26.14,26.4,26.02,26.25,26.223333333333333,45272.39583428,0
1726747200,26.25,26.55,26.22,26.41,26.39333333333333,38585.31918799,0
1726750800,26.4,26.45,26.18,26.3,26.31,24378.84675694,0
1726754400,26.3,26.49,26.17,26.2,26.286666666666665,25874.24465153,0
1726758000,26.19,26.44,26.1,26.39,26.310000000000002,24434.28546141,0
1726761600,26.4,26.61,26.27,26.47,26.45,63646.35123256,0
1726765200,26.48,26.58,26.35,26.51,26.48,21021.74580885,0
1726768800,26.51,26.61,26.41,26.47,26.496666666666666,24140.52230473,0
1726772400,26.47,26.57,26.32,26.42,26.436666666666667,20022.01816755,0
1726776000,26.42,26.64,26.41,26.45,26.5,35989.43804441,0
1726779600,26.46,26.6,26.16,26.16,26.30666666666667,24859.92104526,0
1726783200,26.16,26.74,26.1,26.7,26.513333333333335,42884.49245683,0
1726786800,26.71,26.79,26.56,26.68,26.676666666666666,13496.8997509,0
1726790400,26.67,27.0,26.67,26.71,26.793333333333333,39789.76591368,0
1726794000,26.72,26.85,26.48,26.75,26.69333333333333,20003.239665,0
1726797600,26.75,27.13,26.6,27.12,26.950000000000003,52302.55257576,0
1726801200,27.12,27.87,27.09,27.87,27.61,49549.76932227,0
