time,open,high,low,close,vwap,volume,count
1726556400,4.198,4.205,4.187,4.202,4.1979999999999995,4537.27232959,0
1726560000,4.203,4.218,4.182,4.183,4.194333333333334,8810.42300092,0
1726563600,4.18,4.193,4.157,4.17,4.173333333333333,9628.57642834,0
1726567200,4.173,4.19,4.164,4.19,4.181333333333334,10287.59135168,0
1726570800,4.188,4.196,4.161,4.174,4.177,9882.91839847,0
1726574400,4.173,4.198,4.168,4.194,4.1866666666666665,14374.18427252,0
1726578000,4.193,4.2,4.16,4.167,4.175666666666666,23262.91783421,0
1726581600,4.166,4.244,4.164,4.225,4.210999999999999,50183.50759707,0
1726585200,4.226,4.29,4.225,4.252,4.2556666666666665,33648.23215204,0
1726588800,4.252,4.253,4.188,4.197,4.212666666666666,24315.03511673,0
1726592400,4.195,4.208,4.18,4.193,4.193666666666666,10278.48618492,0
1726596000,4.192,4.199,4.164,4.18,4.181,12940.52682195,0
1726599600,4.178,4.187,4.13,4.162,4.159666666666666,24820.32503517,0
1726603200,4.159,4.173,4.147,4.149,4.156333333333333,12122.01572905,0
1726606800,4.149,4.176,4.146,4.172,4.164666666666666,16220.92020449,0
1726610400,4.171,4.175,4.146,4.154,4.158333333333333,9328.7546184,0
1726614000,4.154,4.161,4.143,4.159,4.154333333333333,13078.13721895,0
1726617600,4.157,4.157,4.115,4.137,4.136333333333333,65958.09263464,0
1726621200,4.136,4.139,4.112,4.125,4.125333333333334,9179.05098567,0
1726624800,4.126,4.153,4.117,4.15,4.14,7689.03190997,0
1726628400,4.15,4.177,4.15,4.162,4.163,6894.72305211,0
1726632000,4.163,4.187,4.127,4.143,4.152333333333334,27242.21573729,0
1726635600,4.14,4.142,4.125,4.136,4.134333333333333,7050.1038818,0
1726639200,4.134,4.141,4.101,4.133,4.125,32226.60344917,0
1726642800,4.131,4.148,4.13,4.131,4.136333333333333,6120.96595791,0
1726646400,4.131,4.134,4.1,4.108,4.114,10450.34533597,0
1726650000,4.107,4.107,4.055,4.058,4.073333333333333,11044.97299846,0
1726653600,4.057,4.075,4.028,4.073,4.058666666666666,19198.05068788,0
1726657200,4.073,4.086,4.062,4.062,4.07,14470.03927624,0
1726660800,4.062,4.076,4.04,4.073,4.063,8635.45902545,0
1726664400,4.072,4.082,4.011,4.023,4.038666666666667,25284.80721702,0
1726668000,4.019,4.038,4.014,4.016,4.022666666666667,33465.45838312,0
1726671600,4.018,4.033,3.975,3.993,4.000333333333334,78814.12581236,0
1726675200,3.992,4.026,3.975,4.008,4.003,29523.13461318,0
1726678800,4.007,4.023,3.978,4.008,4.003,38613.93192836,0
1726682400,4.006,4.124,4.002,4.084,4.069999999999999,108677.01047816,0
1726686000,4.083,4.094,4.039,4.059,4.064,37341.40991853,0
1726689600,4.057,4.094,4.035,4.09,4.073,28598.04244325,0
1726693200,4.09,4.123,4.085,4.095,4.101,23472.57514338,0
1726696800,4.091,4.125,4.091,4.116,4.110666666666667,20902.21672686,0
1726700400,4.118,4.178,4.113,4.177,4.156,36056.78153811,0
1726704000,4.178,4.268,4.178,4.248,4.231333333333333,70676.80714171,0
1726707600,4.245,4.258,4.191,4.223,4.224,34942.80098282,0
1726711200,4.226,4.235,4.2,4.229,4.221333333333334,27657.98242883,0
1726714800,4.23,4.242,4.223,4.226,4.230333333333333,23393.09916101,0
1726718400,4.23,4.234,4.216,4.228,4.226,7991.54216944,0
1726722000,4.231,4.236,4.212,4.225,4.224333333333333,15316.08898577,0
1726725600,4.226,4.231,4.211,4.218,4.22,9386.60771154,0
1726729200,4.219,4.239,4.213,4.239,4.230333333333333,74214.33872095,0
1726732800,4.239,4.24,4.184,4.187,4.203666666666667,155387.65719282,0
1726736400,4.184,4.206,4.179,4.2,4.195,132151.98488859,0
1726740000,4.198,4.221,4.191,4.192,4.201333333333333,20590.64109387,0
1726743600,4.189,4.216,4.189,4.216,4.207000000000001,19841.866403,0
1726747200,4.215,4.244,4.208,4.213,4.221666666666667,70269.79666148,0
1726750800,4.214,4.24,4.2,4.22,4.22,28757.65010402,0
1726754400,4.227,4.258,4.219,4.247,4.241333333333333,80828.91023442,0
1726758000,4.25,4.296,4.249,4.279,4.274666666666667,25257.23588318,0
1726761600,4.284,4.346,4.268,4.332,4.315333333333334,58123.25684134,0
1726765200,4.331,4.351,4.307,4.339,4.332333333333334,29147.71367461,0
1726768800,4.339,4.349,4.299,4.32,4.322666666666667,70311.28618025,0
1726772400,4.32,4.321,4.286,4.298,4.301666666666667,34292.78070823,0
1726776000,4.3,4.307,4.291,4.293,4.297000000000001,14608.60491587,0
1726779600,4.295,4.295,4.238,4.238,4.257000000000001,28891.20542524,0
1726783200,4.239,4.266,4.232,4.258,4.252,22023.1761605,0
1726786800,4.258,4.268,4.249,4.255,4.2573333333333325,14880.45981359,0
1726790400,4.256,4.268,4.215,4.219,4.234000000000001,60770.04789949,0
1726794000,4.218,4.244,4.191,4.24,4.225,21765.66714587,0
1726797600,4.242,4.271,4.23,4.271,4.257333333333334,29897.77619512,0
1726801200,4.272,4.333,4.271,4.332,4.312,24087.88186852,0
1726804800,4.333,4.38,4.329,4.371,4.36,24104.38339664,0
1726808400,4.376,4.384,4.34,4.361,4.361666666666667,12248.56060603,0
1726812000,4.362,4.391,4.344,4.391,4.375333333333333,8532.69323807,0
1726815600,4.389,4.403,4.352,4.393,4.382666666666666,6045.25043425,0
1726819200,4.396,4.397,4.352,4.377,4.375333333333334,6084.80961324,0
1726822800,4.379,4.393,4.37,4.371,4.378,4482.9405384,0
1726826400,4.37,4.39,4.36,4.377,4.375666666666667,19693.19716076,0
1726830000,4.377,4.383,4.313,4.328,4.341333333333334,22453.750033,0
1726833600,4.327,4.344,4.32,4.328,4.330666666666667,50217.96223476,0
1726837200,4.328,4.332,4.262,4.292,4.295333333333333,48819.45082013,0
1726840800,4.296,4.324,4.273,4.299,4.298666666666667,76973.09324524,0
1726844400,4.3,4.317,4.277,4.311,4.301666666666667,44887.39032832,0
1726848000,4.312,4.316,4.265,4.273,4.284666666666666,47059.04313392,0
1726851600,4.274,4.277,4.251,4.263,4.2636666666666665,13169.18123537,0
1726855200,4.262,4.281,4.238,4.281,4.266666666666667,12073.80033249,0
1726858800,4.282,4.294,4.271,4.28,4.281666666666666,5633.71584681,0
1726862400,4.285,4.297,4.278,4.29,4.288333333333333,8296.78854318,0
1726866000,4.291,4.308,4.291,4.303,4.300666666666667,4125.49393901,0
1726869600,4.305,4.33,4.299,4.33,4.319666666666667,23284.80408052,0
1726873200,4.329,4.342,4.32,4.342,4.334666666666666,22718.03996929,0
1726876800,4.34,4.362,4.324,4.359,4.348333333333334,8689.77824232,0
1726880400,4.362,4.367,4.323,4.324,4.338,12467.04903724,0
1726884000,4.329,4.335,4.313,4.326,4.324666666666666,4205.37693954,0
1726887600,4.327,4.353,4.324,4.332,4.336333333333333,12646.51117395,0
1726891200,4.327,4.327,4.286,4.297,4.303333333333334,8555.15165243,0
1726894800,4.294,4.325,4.284,4.31,4.306333333333334,2396.79425463,0
1726898400,4.304,4.335,4.3,4.325,4.32,8769.07035598,0
1726902000,4.325,4.344,4.325,4.342,4.337,4736.60493082,0
1726905600,4.344,4.348,4.32,4.323,4.330333333333333,7105.58812887,0
1726909200,4.323,4.342,4.32,4.338,4.333333333333333,8447.65308473,0
