time,open,high,low,close,vwap,volume,count
1726556400,10.569,10.616,10.552,10.61,10.592666666666666,31772.36,0
1726560000,10.608,10.645,10.58,10.644,10.623,28434.95,0
1726563600,10.639,10.689,10.589,10.65,10.642666666666665,29047.43,0
1726567200,10.653,10.694,10.63,10.645,10.656333333333334,37999.83,0
1726570800,10.647,10.662,10.591,10.597,10.616666666666667,38595.33,0
1726574400,10.597,10.63,10.565,10.617,10.604000000000001,64501.38,0
1726578000,10.609,10.64,10.516,10.541,10.565666666666667,89832.72,0
1726581600,10.535,10.779,10.526,10.722,10.675666666666666,157426.69,0
1726585200,10.726,10.918,10.726,10.854,10.832666666666666,216107.61,0
1726588800,10.854,10.876,10.721,10.746,10.781,168861.74,0
1726592400,10.746,10.801,10.729,10.757,10.762333333333332,76919.15,0
1726596000,10.754,10.771,10.662,10.7,10.710999999999999,30732.99,0
1726599600,10.697,10.73,10.587,10.671,10.662666666666667,60924.28,0
1726603200,10.672,10.735,10.64,10.662,10.679,50215.13,0
1726606800,10.665,10.71,10.634,10.634,10.659333333333334,40030.32,0
1726610400,10.635,10.635,10.582,10.603,10.606666666666667,28850.88,0
1726614000,10.603,10.637,10.567,10.627,10.610333333333335,27904.06,0
1726617600,10.624,10.624,10.513,10.575,10.570666666666666,50667.61,0
1726621200,10.574,10.602,10.535,10.557,10.564666666666668,24946.14,0
1726624800,10.557,10.648,10.536,10.64,10.607999999999999,39806.08,0
1726628400,10.64,10.68,10.638,10.647,10.655,25976.36,0
1726632000,10.646,10.659,10.556,10.581,10.598666666666666,37617.15,0
1726635600,10.576,10.595,10.546,10.579,10.573333333333332,20414.97,0
1726639200,10.579,10.6,10.564,10.582,10.582,28568.68,0
1726642800,10.579,10.621,10.577,10.593,10.597,21355.97,0
1726646400,10.595,10.601,10.53,10.534,10.555,33327.98,0
1726650000,10.533,10.538,10.41,10.411,10.453000000000001,102989.11,0
1726653600,10.41,10.474,10.338,10.469,10.427,47758.82,0
1726657200,10.464,10.501,10.44,10.446,10.462333333333333,16419.4,0
1726660800,10.444,10.481,10.421,10.469,10.457,40059.87,0
1726664400,10.467,10.509,10.364,10.394,10.422333333333334,92418.97,0
1726668000,10.39,10.427,10.352,10.378,10.385666666666667,42382.53,0
1726671600,10.38,10.418,10.289,10.325,10.344,48257.29,0
1726675200,10.323,10.429,10.295,10.423,10.382333333333333,30256.68,0
1726678800,10.424,10.471,10.343,10.429,10.414333333333333,43398.44,0
1726682400,10.42,10.739,10.403,10.633,10.591666666666667,268433.14,0
1726686000,10.631,10.676,10.533,10.568,10.592333333333334,126350.95,0
1726689600,10.564,10.651,10.441,10.639,10.577,67804.99,0
1726693200,10.641,10.709,10.626,10.641,10.658666666666667,41674.25,0
1726696800,10.644,10.715,10.644,10.7,10.686333333333332,40814.79,0
1726700400,10.701,10.894,10.701,10.891,10.828666666666665,177695.46,0
1726704000,10.894,11.135,10.894,11.101,11.043333333333335,348638.13,0
1726707600,11.11,11.141,10.96,11.0,11.033666666666667,110649.16,0
1726711200,11.002,11.045,10.973,11.04,11.019333333333334,44244.33,0
1726714800,11.039,11.062,11.002,11.008,11.024000000000001,34046.32,0
1726718400,11.009,11.06,10.966,11.045,11.023666666666665,35657.27,0
1726722000,11.05,11.109,11.022,11.067,11.066,70934.8,0
1726725600,11.067,11.11,11.055,11.08,11.081666666666665,45365.59,0
1726729200,11.076,11.158,11.064,11.158,11.126666666666667,31903.34,0
1726732800,11.158,11.198,11.113,11.154,11.155000000000001,68738.77,0
1726736400,11.154,11.24,11.136,11.206,11.193999999999997,55396.82,0
1726740000,11.207,11.254,11.16,11.163,11.192333333333332,40235.31,0
1726743600,11.165,11.276,11.141,11.265,11.227333333333334,63094.92,0
1726747200,11.272,11.343,11.232,11.275,11.283333333333333,86942.96,0
1726750800,11.276,11.329,11.18,11.244,11.251,132076.05,0
1726754400,11.244,11.286,11.208,11.228,11.240666666666668,71808.57,0
1726758000,11.228,11.241,11.175,11.222,11.212666666666665,82531.7,0
1726761600,11.222,11.397,11.215,11.336,11.316,125032.64,0
1726765200,11.335,11.377,11.274,11.335,11.328666666666669,66348.94,0
1726768800,11.336,11.393,11.29,11.299,11.327333333333334,58198.88,0
1726772400,11.299,11.304,11.226,11.227,11.252333333333334,67317.86,0
1726776000,11.228,11.254,11.189,11.194,11.212333333333333,54657.14,0
1726779600,11.196,11.248,11.178,11.239,11.22166666666667,24601.47,0
1726783200,11.24,11.268,11.173,11.25,11.230333333333334,93533.41,0
1726786800,11.248,11.268,11.193,11.202,11.220999999999998,29728.3,0
1726790400,11.204,11.236,11.149,11.173,11.186,50311.85,0
1726794000,11.174,11.22,11.124,11.201,11.181666666666667,36132.56,0
1726797600,11.202,11.269,11.182,11.223,11.224666666666666,38801.33,0
1726801200,11.219,11.431,11.219,11.43,11.36,68746.38,0
1726804800,11.429,11.597,11.42,11.584,11.533666666666667,171379.51,0
1726808400,11.58,11.636,11.524,11.577,11.578999999999999,71166.71,0
1726812000,11.578,11.692,11.509,11.675,11.625333333333336,43795.99,0
1726815600,11.675,11.723,11.562,11.698,11.661000000000001,76177.78,0
1726819200,11.7,11.705,11.585,11.656,11.648666666666665,57841.44,0
1726822800,11.654,11.715,11.645,11.693,11.684333333333333,35411.32,0
1726826400,11.696,11.737,11.655,11.719,11.703666666666665,56647.12,0
1726830000,11.722,11.722,11.559,11.608,11.629666666666665,65218.54,0
1726833600,11.606,11.693,11.584,11.666,11.647666666666666,46416.8,0
1726837200,11.672,11.679,11.477,11.518,11.558,109035.87,0
1726840800,11.518,11.601,11.471,11.506,11.526000000000002,137304.2,0
1726844400,11.508,11.57,11.443,11.531,11.514666666666665,90445.31,0
1726848000,11.529,11.551,11.445,11.472,11.489333333333335,47764.38,0
1726851600,11.475,11.491,11.407,11.429,11.442333333333332,67025.9,0
1726855200,11.428,11.467,11.365,11.451,11.427666666666667,68656.05,0
1726858800,11.451,11.478,11.425,11.434,11.445666666666666,41631.21,0
1726862400,11.432,11.457,11.412,11.416,11.428333333333333,32773.74,0
1726866000,11.412,11.498,11.403,11.458,11.453000000000001,42997.57,0
1726869600,11.46,11.497,11.433,11.444,11.458,34690.56,0
1726873200,11.444,11.447,11.396,11.439,11.427333333333332,24761.83,0
1726876800,11.44,11.492,11.385,11.437,11.438,59107.76,0
1726880400,11.437,11.463,11.303,11.308,11.357999999999999,34815.74,0
1726884000,11.31,11.328,11.269,11.301,11.299333333333335,49629.18,0
1726887600,11.299,11.32,11.276,11.278,11.291333333333334,18164.9,0
1726891200,11.28,11.293,11.213,11.24,11.248666666666667,20504.68,0
1726894800,11.242,11.336,11.223,11.316,11.291666666666666,33547.11,0
1726898400,11.319,11.36,11.309,11.324,11.330999999999998,31206.67,0
1726902000,11.328,11.367,11.321,11.36,11.349333333333334,18287.9,0
1726905600,11.358,11.379,11.334,11.345,11.352666666666666,16046.22,0
1726909200,11.347,11.387,11.329,11.383,11.366333333333335,21879.01,0
1726912800,11.383,11.387,11.306,11.315,11.335999999999999,19114.1,0
1726916400,11.319,11.355,11.311,11.345,11.337000000000002,14454.2,0
1726920000,11.345,11.394,11.329,11.394,11.372333333333332,18174.19,0
1726923600,11.394,11.446,11.358,11.434,11.412666666666667,40408.27,0
1726927200,11.433,11.484,11.433,11.477,11.464666666666668,52199.21,0
1726930800,11.477,11.48,11.353,11.39,11.407666666666666,43626.27,0
1726934400,11.39,11.438,11.325,11.35,11.371,43179.82,0
1726938000,11.352,11.407,11.349,11.358,11.371333333333334,26719.35,0
1726941600,11.358,11.377,11.342,11.348,11.355666666666666,19606.05,0
1726945200,11.347,11.387,11.343,11.358,11.362666666666668,20015.38,0
1726948800,11.358,11.384,11.347,11.35,11.360333333333335,25374.83,0
1726952400,11.35,11.379,11.328,11.347,11.351333333333335,23435.15,0
1726956000,11.35,11.42,11.343,11.412,11.391666666666666,17917.41,0
1726959600,11.415,11.546,11.385,11.49,11.473666666666666,62912.97,0
1726963200,11.493,11.549,11.408,11.483,11.479999999999999,57684.22,0
1726966800,11.478,11.5,11.403,11.413,11.438666666666668,33289.16,0
1726970400,11.412,11.423,11.316,11.348,11.362333333333334,39058.76,0
1726974000,11.35,11.406,11.335,11.373,11.371333333333332,28865.73,0
1726977600,11.378,11.426,11.374,11.383,11.394333333333334,27505.96,0
1726981200,11.388,11.393,11.295,11.301,11.329666666666668,36598.32,0
1726984800,11.301,11.368,11.278,11.292,11.312666666666667,37823.48,0
1726988400,11.293,11.328,11.293,11.304,11.308333333333332,27540.67,0
1726992000,11.308,11.33,11.292,11.322,11.314666666666668,22297.24,0
1726995600,11.322,11.327,11.216,11.225,11.256,42982.59,0
1726999200,11.225,11.244,11.155,11.191,11.196666666666667,35972.3,0
1727002800,11.194,11.248,11.164,11.226,11.212666666666665,17048.07,0
1727006400,11.226,11.251,11.192,11.242,11.228333333333333,19502.11,0
1727010000,11.238,11.257,11.131,11.154,11.180666666666667,29983.47,0
1727013600,11.157,11.172,11.034,11.057,11.087666666666669,56302.63,0
1727017200,11.051,11.094,11.026,11.039,11.052999999999999,19056.78,0
1727020800,11.036,11.075,10.952,11.04,11.022333333333334,50066.54,0
1727024400,11.039,11.162,11.035,11.14,11.112333333333334,50412.75,0
1727028000,11.139,11.141,11.054,11.077,11.090666666666666,44558.21,0
1727031600,11.075,11.089,10.995,11.061,11.048333333333332,27138.22,0
1727035200,11.064,11.129,11.045,11.054,11.076,39721.96,0
1727038800,11.053,11.088,10.891,10.908,10.962333333333333,46011.75,0
1727042400,10.908,11.208,10.853,11.186,11.082333333333333,116115.49,0
1727046000,11.187,11.2,11.077,11.13,11.135666666666667,45236.84,0
1727049600,11.132,11.179,10.915,11.158,11.084000000000001,56818.76,0
1727053200,11.158,11.238,11.139,11.221,11.199333333333334,55683.36,0
1727056800,11.223,11.28,11.161,11.272,11.237666666666668,41805.68,0
1727060400,11.276,11.488,11.265,11.426,11.393,102148.45,0
1727064000,11.428,11.476,11.292,11.406,11.391333333333334,57308.04,0
1727067600,11.408,11.443,11.324,11.413,11.393333333333333,51854.1,0
1727071200,11.407,11.438,11.383,11.405,11.408666666666667,24153.68,0
1727074800,11.41,11.421,11.28,11.314,11.338333333333333,40871.31,0
1727078400,11.312,11.374,11.282,11.333,11.329666666666666,43348.94,0
1727082000,11.333,11.474,11.333,11.457,11.421333333333335,39692.15,0
1727085600,11.455,11.469,11.375,11.391,11.411666666666667,38150.6,0
1727089200,11.389,11.459,11.329,11.437,11.408333333333333,67180.81,0
1727092800,11.428,11.502,11.384,11.414,11.433333333333335,83845.58,0
1727096400,11.414,11.423,11.336,11.343,11.367333333333335,72634.45,0
1727100000,11.342,11.531,11.331,11.488,11.450000000000001,121306.34,0
