time,open,high,low,close,vwap,volume,count
1726556400,63.07,63.28,62.95,63.24,63.156666666666666,2257.07651724,0
1726560000,63.24,63.32,62.73,62.73,62.92666666666667,4256.93718688,0
1726563600,62.73,62.75,62.21,62.45,62.470000000000006,8866.70133928,0
1726567200,62.44,62.78,62.39,62.7,62.623333333333335,4332.83901098,0
1726570800,62.69,62.77,62.46,62.5,62.576666666666675,2527.61882435,0
1726574400,62.49,62.8,62.47,62.74,62.669999999999995,2888.11499061,0
1726578000,62.75,62.92,62.41,62.53,62.620000000000005,7156.82900495,0
1726581600,62.51,63.49,62.46,63.16,63.03666666666667,7867.40481344,0
1726585200,63.18,63.99,63.17,63.88,63.68,14755.7409491,0
1726588800,63.88,64.05,63.37,63.54,63.65333333333333,4924.03499571,0
1726592400,63.55,63.69,63.45,63.56,63.56666666666666,3505.2971197,0
1726596000,63.56,63.72,63.17,63.39,63.42666666666667,2828.94032893,0
1726599600,63.38,63.43,62.77,63.22,63.14000000000001,5061.89469107,0
1726603200,63.19,63.51,63.01,63.43,63.31666666666666,3927.84181704,0
1726606800,63.42,63.66,63.4,63.63,63.56333333333333,2391.91516027,0
1726610400,63.64,63.64,63.28,63.6,63.50666666666667,2514.3810271,0
1726614000,63.58,63.81,63.41,63.78,63.666666666666664,3230.47621824,0
1726617600,63.75,63.9,63.32,63.74,63.653333333333336,4403.50661063,0
1726621200,63.75,63.78,63.47,63.71,63.653333333333336,2917.18637355,0
1726624800,63.7,64.28,63.67,64.28,64.07666666666667,6582.38261477,0
1726628400,64.26,64.36,64.09,64.18,64.21,4423.45003222,0
1726632000,64.18,64.22,63.84,63.93,63.99666666666667,3284.41643773,0
1726635600,63.91,63.92,63.53,63.66,63.70333333333334,3251.02160563,0
1726639200,63.65,63.96,63.58,63.85,63.79666666666666,2487.75696238,0
1726642800,63.85,64.15,63.83,64.13,64.03666666666668,1352.70447578,0
1726646400,64.12,64.13,63.67,63.83,63.876666666666665,2408.74606531,0
1726650000,63.85,63.89,63.47,63.51,63.623333333333335,2511.86827167,0
1726653600,63.49,63.79,63.27,63.73,63.596666666666664,2189.70657488,0
1726657200,63.73,63.77,63.41,63.41,63.53,2182.49900873,0
1726660800,63.42,63.42,63.07,63.28,63.25666666666667,3129.36087544,0
1726664400,63.26,63.44,62.56,62.65,62.88333333333333,4318.36434272,0
1726668000,62.64,63.07,62.56,62.9,62.843333333333334,4755.50912436,0
1726671600,62.89,63.17,62.4,62.66,62.74333333333333,5075.32180952,0
1726675200,62.64,63.54,62.43,63.52,63.163333333333334,4543.60683571,0
1726678800,63.52,63.87,63.3,63.63,63.599999999999994,4334.91007364,0
1726682400,63.61,64.46,63.46,63.95,63.95666666666667,9652.42193005,0
1726686000,63.92,64.47,63.6,63.96,64.01,6060.27141694,0
1726689600,63.95,64.29,63.67,64.16,64.04,5317.15823427,0
1726693200,64.18,64.28,63.94,63.97,64.06333333333333,3406.20735799,0
1726696800,63.99,64.3,63.97,64.18,64.14999999999999,3986.64949018,0
1726700400,64.18,64.87,64.18,64.85,64.63333333333334,4668.83781316,0
1726704000,64.85,65.5,64.81,65.27,65.19333333333333,8306.65236377,0
1726707600,65.27,65.35,64.72,64.99,65.02,6642.4304856,0
1726711200,65.01,65.23,64.75,65.22,65.06666666666668,4177.71621797,0
1726714800,65.25,65.38,64.93,64.95,65.08666666666666,4346.78733795,0
1726718400,64.96,65.02,64.71,64.97,64.89999999999999,3382.24161228,0
1726722000,64.99,65.16,64.96,65.1,65.07333333333334,2702.5061635,0
1726725600,65.07,65.09,64.84,64.96,64.96333333333332,2502.41919576,0
1726729200,64.97,65.37,64.9,65.27,65.18,3676.07759174,0
1726732800,65.27,65.43,64.86,64.94,65.07666666666667,2550.29976563,0
1726736400,64.93,65.3,64.92,65.27,65.16333333333334,3956.82219034,0
1726740000,65.3,65.37,65.02,65.05,65.14666666666666,2269.86214617,0
1726743600,65.04,65.71,64.96,65.65,65.44,9320.59296271,0
1726747200,65.65,65.93,65.38,65.5,65.60333333333334,6643.01039907,0
1726750800,65.5,65.75,65.12,65.25,65.37333333333333,5226.09405619,0
1726754400,65.28,65.5,65.08,65.12,65.23333333333333,4308.23192491,0
1726758000,65.11,65.48,65.07,65.34,65.29666666666667,5880.45317127,0
1726761600,65.34,65.97,65.27,65.84,65.69333333333334,4647.45488118,0
1726765200,65.83,66.09,65.59,66.02,65.89999999999999,5741.78837599,0
1726768800,66.02,66.09,65.78,65.85,65.90666666666667,6798.20640338,0
1726772400,65.83,65.89,65.53,65.64,65.68666666666667,5729.37650879,0
1726776000,65.65,65.82,65.58,65.63,65.67666666666666,4625.92160206,0
1726779600,65.64,65.71,65.44,65.47,65.53999999999999,2575.41877616,0
1726783200,65.45,65.7,65.28,65.6,65.52666666666667,6716.64827115,0
1726786800,65.6,65.76,65.41,65.41,65.52666666666667,4312.72946836,0
1726790400,65.41,65.56,65.14,65.32,65.33999999999999,4792.19111843,0
1726794000,65.32,65.37,64.87,64.94,65.06,5875.09464177,0
1726797600,64.96,65.48,64.86,65.46,65.26666666666667,4468.23414791,0
1726801200,65.46,65.95,65.42,65.95,65.77333333333333,5133.0800841,0
1726804800,65.93,66.23,65.78,66.08,66.02999999999999,7954.488353,0
1726808400,66.09,66.42,65.99,66.2,66.20333333333333,3810.5779814,0
1726812000,66.22,66.44,65.91,66.43,66.26,3982.4013625,0
1726815600,66.41,66.44,66.05,66.25,66.24666666666667,2828.46053861,0
1726819200,66.26,66.39,65.81,66.08,66.09333333333332,3782.89018279,0
1726822800,66.09,66.3,66.04,66.25,66.19666666666667,3019.06693006,0
1726826400,66.28,66.31,66.01,66.15,66.15666666666667,3136.7024222,0
1726830000,66.18,66.18,65.82,65.96,65.98666666666666,3546.17594304,0
1726833600,65.93,66.28,65.88,66.03,66.06333333333333,3289.41354236,0
1726837200,66.05,66.1,65.18,65.22,65.5,4275.33954524,0
1726840800,65.21,65.52,64.91,65.02,65.14999999999999,10688.09818591,0
1726844400,65.02,65.04,64.6,64.96,64.86666666666666,7684.08213065,0
1726848000,64.96,65.18,64.56,64.63,64.79,5485.4030295,0
1726851600,64.65,64.75,64.42,64.64,64.60333333333334,5503.09829616,0
1726855200,64.62,64.77,64.32,64.72,64.60333333333332,5529.7884474,0
1726858800,64.72,65.79,64.66,65.78,65.41,7638.69474439,0
1726862400,65.79,65.81,65.1,65.26,65.39,5351.50005771,0
1726866000,65.26,65.5,65.16,65.28,65.31333333333333,4163.00343248,0
1726869600,65.28,65.36,65.16,65.21,65.24333333333333,4673.43095984,0
1726873200,65.21,65.34,65.13,65.34,65.27,3917.6482429,0
1726876800,65.32,65.57,65.23,65.47,65.42333333333333,4208.78791433,0
1726880400,65.47,65.57,64.95,64.95,65.15666666666665,3481.77217713,0
1726884000,64.97,65.2,64.86,65.17,65.07666666666667,2879.73230303,0
1726887600,65.19,65.47,65.1,65.33,65.3,2900.14612978,0
1726891200,65.33,65.43,64.84,65.05,65.10666666666667,3289.56537722,0
1726894800,65.06,65.28,64.95,65.13,65.12,2058.38155533,0
1726898400,65.12,65.44,65.12,65.41,65.32333333333334,3247.05254041,0
1726902000,65.41,65.79,65.41,65.72,65.64,2576.90424044,0
1726905600,65.74,65.99,65.73,65.89,65.87,2487.30691397,0
1726909200,65.87,65.99,65.62,65.7,65.77,2232.72001409,0
1726912800,65.71,65.76,65.55,65.56,65.62333333333333,1253.62606128,0
1726916400,65.55,65.68,65.47,65.67,65.60666666666667,1320.00895538,0
1726920000,65.69,65.97,65.64,65.96,65.85666666666667,2192.07656463,0
1726923600,65.96,66.01,65.86,65.99,65.95333333333333,2622.83700881,0
1726927200,65.98,66.43,65.9,66.38,66.23666666666666,3596.11937464,0
1726930800,66.37,66.72,66.02,66.66,66.46666666666667,6507.26793629,0
1726934400,66.64,66.88,66.38,66.78,66.67999999999999,5883.63572783,0
1726938000,66.77,67.0,66.56,66.61,66.72333333333334,6460.85830878,0
1726941600,66.6,66.89,66.56,66.87,66.77333333333333,3145.95148779,0
1726945200,66.87,67.0,66.77,66.97,66.91333333333333,4695.07002314,0
1726948800,66.97,66.99,66.74,66.78,66.83666666666666,3783.90877378,0
1726952400,66.75,66.78,66.44,66.48,66.56666666666666,3400.17783562,0
1726956000,66.48,66.8,66.46,66.75,66.67,3276.62446376,0
1726959600,66.76,67.16,66.73,66.85,66.91333333333333,4626.16219848,0
1726963200,66.84,67.06,66.73,66.99,66.92666666666668,3957.31636696,0
1726966800,66.97,67.43,66.85,66.86,67.04666666666667,10852.95564307,0
1726970400,66.86,66.91,66.55,66.76,66.74,4986.20701145,0
1726974000,66.73,67.38,66.71,67.36,67.14999999999999,3354.19227539,0
1726977600,67.36,67.38,67.1,67.37,67.28333333333333,5003.13180135,0
1726981200,67.37,67.53,67.01,67.07,67.20333333333333,4279.55181446,0
1726984800,67.08,67.33,66.86,67.0,67.06333333333333,4188.06178013,0
1726988400,66.99,67.21,66.94,67.15,67.1,2572.74080259,0
1726992000,67.17,67.42,67.08,67.37,67.29,1830.8281459,0
1726995600,67.4,67.53,66.94,66.94,67.13666666666667,5243.78558112,0
1726999200,66.94,67.27,66.78,67.01,67.02,2155.72280316,0
1727002800,67.03,67.38,66.99,67.25,67.20666666666666,2767.24552297,0
1727006400,67.25,67.53,67.25,67.53,67.43666666666667,3224.05436035,0
1727010000,67.53,67.53,66.91,67.01,67.14999999999999,4422.02050501,0
1727013600,67.05,67.27,66.7,66.88,66.95,3596.10548538,0
1727017200,66.87,66.95,66.62,66.85,66.80666666666666,3878.77258661,0
1727020800,66.86,67.5,66.55,67.33,67.12666666666667,5083.45012394,0
1727024400,67.35,67.66,67.22,67.5,67.46,3685.64692804,0
1727028000,67.51,67.9,67.37,67.78,67.68333333333334,3445.64732069,0
1727031600,67.78,67.92,67.32,67.74,67.66000000000001,3823.87874155,0
1727035200,67.78,68.0,67.7,67.86,67.85333333333334,3875.6430728,0
1727038800,67.88,68.12,66.86,66.91,67.29666666666667,4652.18506622,0
1727042400,66.96,68.3,66.48,68.24,67.67333333333333,8479.27279656,0
1727046000,68.26,68.81,68.14,68.71,68.55333333333333,8944.81151439,0
