time,open,high,low,close,vwap,volume,count
1726556400,131.98,132.41,131.86,132.25,132.17333333333332,9302.89810808,0
1726560000,132.25,132.79,132.25,132.45,132.49666666666664,7177.84466892,0
1726563600,132.45,132.82,131.76,132.46,132.34666666666666,12983.21934667,0
1726567200,132.47,133.4,132.1,132.73,132.74333333333334,33389.20280217,0
1726570800,132.72,133.07,131.82,131.94,132.27666666666667,35566.4574768,0
1726574400,131.95,132.51,131.46,132.38,132.11666666666667,13424.13192029,0
1726578000,132.38,132.64,130.93,131.16,131.57666666666668,21734.70723054,0
1726581600,131.15,134.91,131.0,133.52,133.14333333333332,90446.75202536,0
1726585200,133.55,135.55,133.48,134.6,134.54333333333332,71589.30880043,0
1726588800,134.66,134.95,132.02,132.41,133.12666666666667,51591.43834057,0
1726592400,132.42,133.7,132.2,133.13,133.01,26938.11619715,0
1726596000,133.13,133.51,132.0,132.47,132.66,15327.67615527,0
1726599600,132.47,132.84,131.06,132.22,132.04,31700.84476792,0
1726603200,132.26,132.67,131.76,132.01,132.14666666666665,34589.09076662,0
1726606800,132.0,132.73,131.96,132.51,132.4,13191.02315025,0
1726610400,132.51,132.51,131.71,131.75,131.99,8607.92548354,0
1726614000,131.73,131.73,131.13,131.56,131.47333333333333,9915.73209599,0
1726617600,131.56,131.67,130.24,131.33,131.08,28963.90599265,0
1726621200,131.32,131.63,130.69,130.94,131.08666666666667,10370.23996082,0
1726624800,130.9,131.7,130.78,131.69,131.39000000000001,4602.90621118,0
1726628400,131.7,132.15,131.66,131.68,131.83,23669.44602166,0
1726632000,131.68,131.85,130.6,131.1,131.1833333333333,9604.67487229,0
1726635600,131.08,131.18,130.6,130.98,130.92,9789.62566721,0
1726639200,130.96,131.36,130.77,131.26,131.13,5480.24799191,0
1726642800,131.26,131.52,131.13,131.33,131.32666666666668,2642.75106339,0
1726646400,131.33,131.33,130.61,130.79,130.91,4998.42695596,0
1726650000,130.76,130.84,129.17,129.18,129.73,20292.36533475,0
1726653600,129.18,129.6,128.11,129.43,129.04666666666668,31929.88365177,0
1726657200,129.43,129.87,129.15,129.41,129.47666666666666,9581.96161099,0
1726660800,129.43,130.12,128.81,129.99,129.64000000000001,15443.42810375,0
1726664400,129.98,130.34,128.17,128.67,129.05999999999997,34935.71203739,0
1726668000,128.67,128.92,127.58,128.03,128.17666666666665,34493.2829429,0
1726671600,128.03,128.51,127.08,127.65,127.74666666666667,44806.16427625,0
1726675200,127.68,129.0,127.25,128.91,128.38666666666666,27995.34852973,0
1726678800,128.91,129.78,127.84,129.24,128.95333333333335,47086.2861272,0
1726682400,129.23,133.08,128.9,131.34,131.10666666666668,202755.84064398,0
1726686000,131.33,131.39,128.94,129.46,129.92999999999998,61784.56878407,0
1726689600,129.48,130.9,128.39,130.8,130.03,34379.87284714,0
1726693200,130.77,131.78,130.61,131.2,131.19666666666666,23636.62715625,0
1726696800,131.18,131.72,130.74,131.46,131.3066666666667,18044.84665322,0
1726700400,131.47,134.47,131.46,134.35,133.42666666666665,57611.35910503,0
1726704000,134.37,136.67,134.3,135.85,135.60666666666668,132424.52345497,0
1726707600,135.83,136.1,134.76,135.5,135.45333333333335,62133.45435652,0
1726711200,135.5,137.45,135.01,137.22,136.55999999999997,43520.34967197,0
1726714800,137.21,138.68,137.21,138.04,137.97666666666666,62615.37341808,0
1726718400,138.06,139.17,137.81,138.96,138.64666666666668,52423.8858639,0
1726722000,138.96,139.16,138.14,138.39,138.5633333333333,61049.50782129,0
1726725600,138.39,139.06,137.66,138.53,138.41666666666666,64915.81918533,0
1726729200,138.53,138.99,138.08,138.58,138.55000000000004,20866.18946444,0
1726732800,138.58,139.05,138.36,138.44,138.61666666666667,23119.96160104,0
1726736400,138.45,139.25,138.28,138.68,138.73666666666665,25893.89693642,0
1726740000,138.71,139.51,138.54,138.65,138.89999999999998,35539.62536012,0
1726743600,138.66,139.7,138.6,139.51,139.26999999999998,44395.45208047,0
1726747200,139.49,140.93,139.49,140.62,140.34666666666666,72966.3740703,0
1726750800,140.63,141.87,140.08,140.5,140.8166666666667,109970.00375587,0
1726754400,140.5,141.98,140.47,140.89,141.11333333333332,86299.72512277,0
1726758000,140.89,143.08,140.75,142.99,142.27333333333334,103178.48311128,0
1726761600,142.99,143.99,142.51,143.24,143.24666666666667,55359.31316908,0
1726765200,143.26,143.87,142.63,143.19,143.23,40170.61228595,0
1726768800,143.19,143.9,143.1,143.77,143.59,45063.37075002,0
1726772400,143.76,144.03,142.98,143.07,143.35999999999999,40864.87931919,0
1726776000,143.1,143.82,143.05,143.66,143.51,29128.50276417,0
1726779600,143.67,143.75,141.58,141.71,142.3466666666667,42150.85771166,0
1726783200,141.7,142.82,141.1,142.43,142.11666666666665,69231.00078171,0
1726786800,142.45,142.91,142.14,142.89,142.64666666666665,17138.51828481,0
1726790400,142.88,143.4,141.79,141.8,142.33,26270.59194295,0
1726794000,141.8,142.6,141.21,142.14,141.98333333333332,29753.69132824,0
1726797600,142.15,142.53,141.32,142.47,142.10666666666668,19250.9795862,0
1726801200,142.45,144.72,142.34,144.67,143.91,37522.88389842,0
1726804800,144.67,148.77,144.5,148.14,147.13666666666666,109944.86329317,0
1726808400,148.16,149.61,147.31,148.4,148.44000000000003,41881.75732389,0
1726812000,148.4,152.41,147.82,151.38,150.53666666666666,52627.82841905,0
1726815600,151.39,151.51,149.37,151.05,150.64333333333335,41339.80115759,0
1726819200,151.06,151.79,150.0,150.8,150.86333333333332,23120.69705715,0
1726822800,150.79,151.79,150.58,150.96,151.11,15693.70858893,0
1726826400,150.97,151.66,150.2,151.62,151.16,26236.02351275,0
1726830000,151.61,151.65,150.04,150.58,150.75666666666666,35987.6240732,0
1726833600,150.59,151.15,150.2,150.41,150.58666666666667,29586.80924703,0
1726837200,150.42,150.63,146.74,147.21,148.19333333333336,122266.28810837,0
1726840800,147.22,149.29,145.91,147.8,147.66666666666666,67830.27720406,0
1726844400,147.81,148.74,146.65,147.88,147.75666666666666,46584.14758823,0
1726848000,147.9,148.41,147.17,147.66,147.74666666666667,52084.01220662,0
1726851600,147.66,147.98,145.77,145.86,146.53666666666666,30506.833927,0
1726855200,145.85,146.37,144.7,146.22,145.76333333333332,61470.23635371,0
1726858800,146.24,147.31,145.9,146.68,146.63000000000002,24817.68031978,0
1726862400,146.68,147.29,146.3,146.64,146.74333333333334,18404.80437731,0
1726866000,146.64,147.99,146.59,147.28,147.28666666666666,38135.98689037,0
1726869600,147.27,147.73,146.81,147.15,147.23,10456.58432747,0
1726873200,147.17,147.17,146.26,146.66,146.69666666666663,11444.84774693,0
1726876800,146.66,148.0,145.78,147.2,146.9933333333333,28156.67037038,0
1726880400,147.19,147.42,145.3,145.35,146.02333333333334,15643.84552345,0
1726884000,145.35,145.89,145.01,145.59,145.49666666666667,18419.78596512,0
1726887600,145.58,146.59,145.39,145.99,145.99,6351.42345581,0
1726891200,145.97,146.18,144.59,145.34,145.37,18568.73939216,0
1726894800,145.35,146.05,145.17,145.95,145.72333333333333,6203.3260976,0
1726898400,145.95,147.2,145.74,146.8,146.58,13398.2532958,0
1726902000,146.82,147.74,146.73,147.45,147.30666666666667,10164.14779176,0
1726905600,147.45,147.93,146.96,147.12,147.33666666666667,6419.14318066,0
1726909200,147.11,147.73,147.03,147.52,147.42666666666665,4169.9225487,0
1726912800,147.51,147.53,146.45,146.83,146.9366666666667,7209.70997684,0
